Player,Number,Position,MinsPlayed,Points,Tries,Conversions,Conversion Attempts,PenaltyGoals,Goal ConversionRate,1 Point FieldGoals,2 Point FieldGoals,TotalPoints,AllRuns,All RunMetres,Kick ReturnMetres,Post ContactMetres,LineBreaks,Line BreakAssists,TryAssists,Line EngagedRuns,TackleBreaks,HitUps,Play TheBall,Average Play The BallSpeed,Dummy HalfRuns,Dummy Half RunMetres,One on OneSteal,Offloads,DummyPasses,Passes,Receipts,Passes To RunRatio,Tackle Efficiency,TacklesMade,MissedTackles,Ineffective Tackles,Intercepts,KicksDefused,Kicks,KickingMetres,Forced DropOuts,BombKicks,Grubbers,40/20,20/40,Cross FieldKicks,KickedDead,Errors,Handling Errors,One on OneLost,Penalties,Ruck Infringements,Inside 10Metres,OnReport,SinBins,SendOffs,StintOne,StintTwo
James Tedesco,1,Fullback,80,8,2,0,0,0,0.0,0,0,84,18,200,48,48,2,0,1,0,11,0,0,3.41,0,0,1,0,0,8,23,0.44,88.89,8,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Corey Allan,2,Winger,80,0,0,0,0,0,0.0,0,0,24,16,134,3,44,0,1,0,0,1,0,0,3.94,0,0,0,0,0,6,22,0.38,85.71,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,80,0
Joseph-Aukuso Suaalii,3,Centre,80,6,0,3,4,0,75.0,0,0,37,10,77,0,24,0,0,0,0,2,1,0,3.08,0,0,0,2,0,7,14,0.7,100.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Billy Smith,4,Centre,80,0,0,0,0,0,0.0,0,0,19,12,85,0,36,0,0,0,0,2,0,0,3.87,1,1,0,0,0,6,17,0.5,88.46,23,2,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,80,0
Jaxson Paulo,5,Winger,80,0,0,0,0,0,0.0,0,0,22,13,138,11,34,0,0,0,0,5,0,0,3.59,0,0,0,0,0,3,14,0.23,50.0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Luke Keary,6,Five-Eighth,80,8,2,0,0,0,0.0,0,0,54,12,125,0,2,1,0,0,0,2,0,0,3.06,0,0,0,0,1,38,52,3.17,82.61,19,3,1,0,0,9,173,1,3,2,0,0,1,0,1,1,0,0,0,0,0,0,0,80,0
Drew Hutchison,7,Halfback,80,0,0,0,0,0,0.0,0,0,30,8,55,0,15,1,0,0,0,0,0,0,3.23,0,0,0,0,0,20,36,2.5,81.25,26,4,2,0,1,6,206,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,80,0
Brandon Smith,9,Interchange,28,0,0,0,0,0,0.0,0,0,19,0,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0,0,34,35,0.0,80.95,17,3,1,0,0,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
Lindsay Collins,10,Prop,43,0,0,0,0,0,0.0,0,0,35,13,137,20,49,0,0,0,0,0,12,0,3.03,0,0,0,0,0,1,14,0.08,92.31,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,19
Egan Butcher,11,2nd Row,75,0,0,0,0,0,0.0,0,0,36,8,55,0,21,0,0,0,0,1,8,0,3.26,0,0,0,0,0,4,12,0.5,92.11,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0
Sitili Tupouniua,12,2nd Row,61,0,0,0,0,0,0.0,0,0,21,5,29,0,8,0,0,0,0,0,5,0,3.8,0,0,0,0,0,3,8,0.6,93.75,30,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,1,0,0,0,0,60,0
Victor Radley,13,Lock,56,0,0,0,0,0,0.0,0,0,45,17,105,0,12,0,0,0,0,1,9,0,4.02,0,0,0,0,0,19,28,1.12,90.24,37,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,49,6
Jake Turpin,14,Hooker,52,0,0,0,0,0,0.0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,68,69,0.0,90.0,27,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,19
