Round_Number,Home_Team,Home_Score,Away_Team,Away_Score,Player,Tries
2,Eels,26,Sharks,30,Clinton Gutherson captain,0
2,Eels,26,Sharks,30,Maika Sivo,2
2,Eels,26,Sharks,30,Will Penisini,0
2,Eels,26,Sharks,30,Waqa Blake,0
2,Eels,26,Sharks,30,Bailey Simonsson,0
2,Eels,26,Sharks,30,Dylan Brown,0
2,Eels,26,Sharks,30,Mitchell Moses,2
2,Eels,26,Sharks,30,Reagan Campbell-Gillard,1
2,Eels,26,Sharks,30,Josh Hodgson,0
2,Eels,26,Sharks,30,Junior Paulo,0
2,Eels,26,Sharks,30,Bryce Cartwright,0
2,Eels,26,Sharks,30,Matt Doorey,0
2,Eels,26,Sharks,30,J'maine Hopgood,0
2,Eels,26,Sharks,30,William Kennedy,3
2,Eels,26,Sharks,30,Sione Katoa,0
2,Eels,26,Sharks,30,Jesse Ramien,0
2,Eels,26,Sharks,30,Siosifa Talakai,0
2,Eels,26,Sharks,30,Ronaldo Mulitalo,1
2,Eels,26,Sharks,30,Matt Moylan,0
2,Eels,26,Sharks,30,Braydon Trindall,0
2,Eels,26,Sharks,30,Toby Rudolf,0
2,Eels,26,Sharks,30,Blayke Brailey,0
2,Eels,26,Sharks,30,Braden Hamlin-Uele,0
2,Eels,26,Sharks,30,Briton Nikora,1
2,Eels,26,Sharks,30,Teig Wilton,0
2,Eels,26,Sharks,30,Dale Finucane captain,0
