Round_Number,Home_Team,Home_Score,Away_Team,Away_Score,Player,Tries
11,Raiders,26,Eels,18,Sebastian Kris,1
11,Raiders,26,Eels,18,Albert Hopoate,1
11,Raiders,26,Eels,18,Jarrod Croker captain,0
11,Raiders,26,Eels,18,Matthew Timoko,1
11,Raiders,26,Eels,18,Jordan Rapana,0
11,Raiders,26,Eels,18,Jack Wighton,0
11,Raiders,26,Eels,18,Jamal Fogarty,0
11,Raiders,26,Eels,18,Josh Papalii,0
11,Raiders,26,Eels,18,Zac Woolford,0
11,Raiders,26,Eels,18,Joseph Tapine,0
11,Raiders,26,Eels,18,Hudson Young,1
11,Raiders,26,Eels,18,Elliott Whitehead,0
11,Raiders,26,Eels,18,Corey Horsburgh,0
11,Raiders,26,Eels,18,Clinton Gutherson captain,0
11,Raiders,26,Eels,18,Maika Sivo,1
11,Raiders,26,Eels,18,Will Penisini,0
11,Raiders,26,Eels,18,Bailey Simonsson,1
11,Raiders,26,Eels,18,Haze Dunster,0
11,Raiders,26,Eels,18,Dylan Brown,0
11,Raiders,26,Eels,18,Jake Arthur,0
11,Raiders,26,Eels,18,Wiremu Greig,0
11,Raiders,26,Eels,18,Josh Hodgson,0
11,Raiders,26,Eels,18,Junior Paulo,0
11,Raiders,26,Eels,18,Shaun Lane,0
11,Raiders,26,Eels,18,Andrew Davey,0
11,Raiders,26,Eels,18,J'maine Hopgood,1
