Round_Number,Home_Team,Home_Score,Away_Team,Away_Score,Player,Tries
21,Warriors,21,Raiders,20,Charnze Nicoll-Klokstad,1
21,Warriors,21,Raiders,20,Dallin Watene-Zelezniak,1
21,Warriors,21,Raiders,20,Rocco Berry,0
21,Warriors,21,Raiders,20,Adam Pompey,0
21,Warriors,21,Raiders,20,Marcelo Montoya,0
21,Warriors,21,Raiders,20,Luke Metcalf,0
21,Warriors,21,Raiders,20,Shaun Johnson,0
21,Warriors,21,Raiders,20,Addin Fonua-Blake,0
21,Warriors,21,Raiders,20,Wayde Egan,0
21,Warriors,21,Raiders,20,Mitchell Barnett,0
21,Warriors,21,Raiders,20,Jackson Ford,0
21,Warriors,21,Raiders,20,Marata Niukore,1
21,Warriors,21,Raiders,20,Tohu Harris captain,0
21,Warriors,21,Raiders,20,Sebastian Kris,0
21,Warriors,21,Raiders,20,Albert Hopoate,0
21,Warriors,21,Raiders,20,Jarrod Croker captain,0
21,Warriors,21,Raiders,20,Matthew Timoko,0
21,Warriors,21,Raiders,20,Jordan Rapana,1
21,Warriors,21,Raiders,20,Jack Wighton,1
21,Warriors,21,Raiders,20,Jamal Fogarty,0
21,Warriors,21,Raiders,20,Josh Papalii,0
21,Warriors,21,Raiders,20,Zac Woolford,0
21,Warriors,21,Raiders,20,Joseph Tapine,0
21,Warriors,21,Raiders,20,Hudson Young,1
21,Warriors,21,Raiders,20,Elliott Whitehead,1
21,Warriors,21,Raiders,20,Corey Horsburgh,0
