Round_Number,Home_Team,Home_Score,Away_Team,Away_Score,Player,Tries
15,Bulldogs,12,Eels,34,Hayze Perham,1
15,Bulldogs,12,Eels,34,Jacob Kiraz,0
15,Bulldogs,12,Eels,34,Jake Averillo,0
15,Bulldogs,12,Eels,34,Paul Alamoti,0
15,Bulldogs,12,Eels,34,Josh Addo-Carr,0
15,Bulldogs,12,Eels,34,Karl Oloapu,0
15,Bulldogs,12,Eels,34,Matt Burton captain,0
15,Bulldogs,12,Eels,34,Tevita Pangai Junior,0
15,Bulldogs,12,Eels,34,Reed Mahoney,0
15,Bulldogs,12,Eels,34,Chris Patolo,0
15,Bulldogs,12,Eels,34,Jayden Okunbor,0
15,Bulldogs,12,Eels,34,Jacob Preston,0
15,Bulldogs,12,Eels,34,Harrison Edwards,0
15,Bulldogs,12,Eels,34,Clinton Gutherson captain,0
15,Bulldogs,12,Eels,34,Maika Sivo,1
15,Bulldogs,12,Eels,34,Will Penisini,1
15,Bulldogs,12,Eels,34,Bailey Simonsson,1
15,Bulldogs,12,Eels,34,Sean Russell,0
15,Bulldogs,12,Eels,34,Daejarn Asi,0
15,Bulldogs,12,Eels,34,Mitchell Moses,0
15,Bulldogs,12,Eels,34,Reagan Campbell-Gillard,0
15,Bulldogs,12,Eels,34,Brendan Hands,0
15,Bulldogs,12,Eels,34,Junior Paulo,0
15,Bulldogs,12,Eels,34,Bryce Cartwright,0
15,Bulldogs,12,Eels,34,Andrew Davey,0
15,Bulldogs,12,Eels,34,J'maine Hopgood,0
