Round_Number,Home_Team,Home_Score,Away_Team,Away_Score,Player,Tries
20,Bulldogs,24,Broncos,44,Jake Averillo,2
20,Bulldogs,24,Broncos,44,Blake Wilson,0
20,Bulldogs,24,Broncos,44,Braidon Burns,0
20,Bulldogs,24,Broncos,44,Jacob Kiraz,0
20,Bulldogs,24,Broncos,44,Jeral Skelton,0
20,Bulldogs,24,Broncos,44,Matt Burton captain,0
20,Bulldogs,24,Broncos,44,Toby Sexton,0
20,Bulldogs,24,Broncos,44,Max King,0
20,Bulldogs,24,Broncos,44,Reed Mahoney,0
20,Bulldogs,24,Broncos,44,Raymond Faitala-Mariner,0
20,Bulldogs,24,Broncos,44,Jackson Topine,0
20,Bulldogs,24,Broncos,44,Jacob Preston,1
20,Bulldogs,24,Broncos,44,Corey Waddell,1
20,Bulldogs,24,Broncos,44,Tristan Sailor,0
20,Bulldogs,24,Broncos,44,Selwyn Cobbo,0
20,Bulldogs,24,Broncos,44,Kotoni Staggs,0
20,Bulldogs,24,Broncos,44,Herbie Farnworth,1
20,Bulldogs,24,Broncos,44,Jesse Arthars,0
20,Bulldogs,24,Broncos,44,Ezra Mam,1
20,Bulldogs,24,Broncos,44,Adam Reynolds captain,0
20,Bulldogs,24,Broncos,44,Keenan Palasia,0
20,Bulldogs,24,Broncos,44,Billy Walters,1
20,Bulldogs,24,Broncos,44,Corey Jensen,0
20,Bulldogs,24,Broncos,44,Kurt Capewell,1
20,Bulldogs,24,Broncos,44,Brendan Piakura,1
20,Bulldogs,24,Broncos,44,Kobe Hetherington,0
