Player,Number,Position,MinsPlayed,Points,Tries,Conversions,Conversion Attempts,PenaltyGoals,Goal ConversionRate,1 Point FieldGoals,2 Point FieldGoals,TotalPoints,AllRuns,All RunMetres,Kick ReturnMetres,Post ContactMetres,LineBreaks,Line BreakAssists,TryAssists,Line EngagedRuns,TackleBreaks,HitUps,Play TheBall,Average Play The BallSpeed,Dummy HalfRuns,Dummy Half RunMetres,One on OneSteal,Offloads,DummyPasses,Passes,Receipts,Passes To RunRatio,Tackle Efficiency,TacklesMade,MissedTackles,Ineffective Tackles,Intercepts,KicksDefused,Kicks,KickingMetres,Forced DropOuts,BombKicks,Grubbers,40/20,20/40,Cross FieldKicks,KickedDead,Errors,Handling Errors,One on OneLost,Penalties,Ruck Infringements,Inside 10Metres,OnReport,SinBins,SendOffs,StintOne,StintTwo
Hayze Perham,1,Fullback,80,0,0,0,0,0,0.0,0,0,38,29,243,78,44,1,0,0,0,6,0,0,3.7,1,2,0,1,0,32,54,1.1,33.33,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
Jacob Kiraz,2,Winger,80,0,0,0,0,0,0.0,0,0,37,27,214,15,64,0,0,0,0,4,0,0,3.63,0,0,0,2,0,9,37,0.33,50.0,2,1,1,0,4,1,15,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,80,0
Jake Averillo,3,Centre,80,0,0,0,0,0,0.0,0,0,33,14,120,3,32,0,0,0,0,4,0,0,3.32,1,9,0,1,1,11,23,0.79,85.71,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80,0
Paul Alamoti,4,Centre,80,0,0,0,0,0,0.0,0,0,50,15,128,18,36,0,0,0,0,7,0,0,3.47,0,0,0,1,0,9,22,0.6,90.91,20,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Josh Reynolds,6,Five-Eighth,32,0,0,0,0,0,0.0,0,0,5,2,8,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,13,15,6.5,78.57,11,3,0,0,0,2,76,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,7
Matt Burton,7,Halfback,80,4,0,2,2,0,100.0,0,0,63,10,80,0,15,1,1,1,0,4,0,0,3.16,0,0,0,2,2,36,60,3.6,91.67,11,1,0,0,0,18,532,2,6,2,0,0,1,0,2,2,0,0,0,0,0,0,0,80,0
Max King,8,Prop,39,0,0,0,0,0,0.0,0,0,37,6,55,10,28,0,0,0,0,2,5,0,3.67,0,0,0,0,0,1,8,0.17,96.97,32,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,29,9
Reed Mahoney,9,Hooker,80,0,0,0,0,0,0.0,0,0,53,9,66,0,14,0,1,1,0,1,2,0,3.16,2,22,0,0,0,94,101,10.44,93.75,45,3,0,0,0,3,113,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,80,0
Tevita Pangai Junior,10,Prop,40,0,0,0,0,0,0.0,0,0,40,14,112,12,30,0,0,0,0,2,10,0,3.67,0,0,0,1,0,8,19,0.57,95.83,23,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,21
Corey Waddell,11,2nd Row,71,0,0,0,0,0,0.0,0,0,33,13,106,0,40,0,0,0,0,1,13,0,3.68,0,0,0,0,0,6,19,0.46,80.49,33,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,70,0
Jacob Preston,12,2nd Row,80,0,0,0,0,0,0.0,0,0,45,10,97,0,37,0,1,0,0,0,10,0,3.63,0,0,0,1,0,2,12,0.2,94.74,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Raymond Faitala-Mariner,13,Interchange,34,0,0,0,0,0,0.0,0,0,30,7,75,11,27,0,0,0,0,1,5,0,3.64,0,0,0,0,0,1,7,0.14,87.1,27,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
Karl Oloapu,14,Interchange,56,0,0,0,0,0,0.0,0,0,29,6,47,0,3,0,0,0,0,3,0,0,3.36,0,0,0,0,0,23,27,3.83,83.33,15,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0
