,Round_Number,Home_Team,Home_Score,Away_Team,Away_Score,Player,Tries,isHomePlayer,OppoentTotalTackles,OpponentTeamTackleEfficiency,OpponentTotalMissedTackles,OpponentTotalIneffectiveTakcles,Position,MinsPlayed,Points,TotalPoints,AllRuns,All RunMetres,Post ContactMetres,LineBreaks,TackleBreaks,Average Play The BallSpeed,Receipts,Home_All_Runs,Home_All_Run_Meters,Home_Post_Contact_Meters,Home_Line_Breaks,Home_Tackle_Breaks,Home_Average_Distance,Home_Kick_Return_Meters,Home_Average_Ball_Play_Speed,Away_All_Runs,Away_All_Run_Meters,Away_Post_Contact_Meters,Away_Line_Breaks,Away_Tackle_Breaks,Away_Average_Distance,Away_Kick_Return_Meters,Away_Average_Ball_Play_Speed,Home_Effective_Tackles %,Home_Tackles_Made,Home_Missed_Tackles,Home_Ineffective_Tackles,Away_Effective_Tackles %,Away_Tackles_Made,Away_Missed_Tackles,Away_Ineffective_Tackles,Home_Errors,Home_Penalties,Home_Ruck_Infrigments,Home_Inside_10M,Away_Errors,Away_Penalties,Away_Ruck_infrigments,Away_Inside_10M,Home_Offloads,Home_Receipts,Home_Total_Passes,Home_Dummy_Passes,Away_Offloads,Away_Receipts,Away_Total_Passes,Away_Dummy_Passes,Home_Possesion,Home_Time_Possesion,Home_Completion_Rate,Away_Possesion,Away_Time_Possesion,Away_Completion_Rate
0,12.0,Broncos,4.0,Panthers,15.0,Reece Walsh,0.0,1.0,275.0,1064.05,35.0,16.0,Fullback,80.0,0.0,33.0,16.0,103.0,5.0,0.0,4.0,4.73,43.0,193.0,"1,521",440.0,1.0,41.0,37.1,98.0,3.43,254.0,"2,259",615.0,6.0,48.0,51.35,227.0,3.36,86.65,435.0,48.0,19.0,84.85,336.0,41.0,19.0,10.0,7.0,1.0,1.0,9.0,5.0,3.0,1.0,13.0,417.0,222.0,6.0,14.0,555.0,315.0,20.0,58.0,38:13,84%,42.0,26:58,78.0
1,12.0,Broncos,4.0,Panthers,15.0,Jesse Arthars,0.0,1.0,275.0,1064.05,35.0,16.0,Winger,80.0,0.0,20.0,17.0,137.0,35.0,0.0,2.0,3.43,22.0,193.0,"1,521",440.0,1.0,41.0,37.1,98.0,3.43,254.0,"2,259",615.0,6.0,48.0,51.35,227.0,3.36,86.65,435.0,48.0,19.0,84.85,336.0,41.0,19.0,10.0,7.0,1.0,1.0,9.0,5.0,3.0,1.0,13.0,417.0,222.0,6.0,14.0,555.0,315.0,20.0,58.0,38:13,84%,42.0,26:58,78.0
2,12.0,Broncos,4.0,Panthers,15.0,Kotoni Staggs,0.0,1.0,275.0,1064.05,35.0,16.0,Centre,80.0,0.0,34.0,19.0,124.0,41.0,0.0,5.0,3.28,19.0,193.0,"1,521",440.0,1.0,41.0,37.1,98.0,3.43,254.0,"2,259",615.0,6.0,48.0,51.35,227.0,3.36,86.65,435.0,48.0,19.0,84.85,336.0,41.0,19.0,10.0,7.0,1.0,1.0,9.0,5.0,3.0,1.0,13.0,417.0,222.0,6.0,14.0,555.0,315.0,20.0,58.0,38:13,84%,42.0,26:58,78.0
3,12.0,Broncos,4.0,Panthers,15.0,Herbie Farnworth,0.0,1.0,275.0,1064.05,35.0,16.0,Centre,80.0,0.0,62.0,28.0,247.0,72.0,1.0,7.0,3.61,28.0,193.0,"1,521",440.0,1.0,41.0,37.1,98.0,3.43,254.0,"2,259",615.0,6.0,48.0,51.35,227.0,3.36,86.65,435.0,48.0,19.0,84.85,336.0,41.0,19.0,10.0,7.0,1.0,1.0,9.0,5.0,3.0,1.0,13.0,417.0,222.0,6.0,14.0,555.0,315.0,20.0,58.0,38:13,84%,42.0,26:58,78.0
4,12.0,Broncos,4.0,Panthers,15.0,Selwyn Cobbo,1.0,1.0,275.0,1064.05,35.0,16.0,Winger,80.0,4.0,37.0,18.0,114.0,37.0,0.0,4.0,3.05,20.0,193.0,"1,521",440.0,1.0,41.0,37.1,98.0,3.43,254.0,"2,259",615.0,6.0,48.0,51.35,227.0,3.36,86.65,435.0,48.0,19.0,84.85,336.0,41.0,19.0,10.0,7.0,1.0,1.0,9.0,5.0,3.0,1.0,13.0,417.0,222.0,6.0,14.0,555.0,315.0,20.0,58.0,38:13,84%,42.0,26:58,78.0
5,12.0,Broncos,4.0,Panthers,15.0,Ezra Mam,0.0,1.0,275.0,1064.05,35.0,16.0,Five-Eighth,80.0,0.0,17.0,13.0,78.0,13.0,0.0,3.0,4.09,34.0,193.0,"1,521",440.0,1.0,41.0,37.1,98.0,3.43,254.0,"2,259",615.0,6.0,48.0,51.35,227.0,3.36,86.65,435.0,48.0,19.0,84.85,336.0,41.0,19.0,10.0,7.0,1.0,1.0,9.0,5.0,3.0,1.0,13.0,417.0,222.0,6.0,14.0,555.0,315.0,20.0,58.0,38:13,84%,42.0,26:58,78.0
6,12.0,Broncos,4.0,Panthers,15.0,Jock Madden,0.0,1.0,275.0,1064.05,35.0,16.0,Halfback,80.0,0.0,47.0,11.0,76.0,5.0,0.0,1.0,4.19,59.0,193.0,"1,521",440.0,1.0,41.0,37.1,98.0,3.43,254.0,"2,259",615.0,6.0,48.0,51.35,227.0,3.36,86.65,435.0,48.0,19.0,84.85,336.0,41.0,19.0,10.0,7.0,1.0,1.0,9.0,5.0,3.0,1.0,13.0,417.0,222.0,6.0,14.0,555.0,315.0,20.0,58.0,38:13,84%,42.0,26:58,78.0
7,12.0,Broncos,4.0,Panthers,15.0,Thomas Flegler,0.0,1.0,275.0,1064.05,35.0,16.0,Prop,47.0,0.0,40.0,12.0,102.0,41.0,0.0,3.0,3.57,13.0,193.0,"1,521",440.0,1.0,41.0,37.1,98.0,3.43,254.0,"2,259",615.0,6.0,48.0,51.35,227.0,3.36,86.65,435.0,48.0,19.0,84.85,336.0,41.0,19.0,10.0,7.0,1.0,1.0,9.0,5.0,3.0,1.0,13.0,417.0,222.0,6.0,14.0,555.0,315.0,20.0,58.0,38:13,84%,42.0,26:58,78.0
8,12.0,Broncos,4.0,Panthers,15.0,Billy Walters,0.0,1.0,275.0,1064.05,35.0,16.0,Hooker,53.0,0.0,39.0,1.0,2.0,0.0,0.0,0.0,0.0,71.0,193.0,"1,521",440.0,1.0,41.0,37.1,98.0,3.43,254.0,"2,259",615.0,6.0,48.0,51.35,227.0,3.36,86.65,435.0,48.0,19.0,84.85,336.0,41.0,19.0,10.0,7.0,1.0,1.0,9.0,5.0,3.0,1.0,13.0,417.0,222.0,6.0,14.0,555.0,315.0,20.0,58.0,38:13,84%,42.0,26:58,78.0
9,12.0,Broncos,4.0,Panthers,15.0,Payne Haas,0.0,1.0,275.0,1064.05,35.0,16.0,Prop,57.0,0.0,56.0,12.0,101.0,39.0,0.0,2.0,2.49,12.0,193.0,"1,521",440.0,1.0,41.0,37.1,98.0,3.43,254.0,"2,259",615.0,6.0,48.0,51.35,227.0,3.36,86.65,435.0,48.0,19.0,84.85,336.0,41.0,19.0,10.0,7.0,1.0,1.0,9.0,5.0,3.0,1.0,13.0,417.0,222.0,6.0,14.0,555.0,315.0,20.0,58.0,38:13,84%,42.0,26:58,78.0
