Player,Number,Position,MinsPlayed,Points,Tries,Conversions,Conversion Attempts,PenaltyGoals,Goal ConversionRate,1 Point FieldGoals,2 Point FieldGoals,TotalPoints,AllRuns,All RunMetres,Kick ReturnMetres,Post ContactMetres,LineBreaks,Line BreakAssists,TryAssists,Line EngagedRuns,TackleBreaks,HitUps,Play TheBall,Average Play The BallSpeed,Dummy HalfRuns,Dummy Half RunMetres,One on OneSteal,Offloads,DummyPasses,Passes,Receipts,Passes To RunRatio,Tackle Efficiency,TacklesMade,MissedTackles,Ineffective Tackles,Intercepts,KicksDefused,Kicks,KickingMetres,Forced DropOuts,BombKicks,Grubbers,40/20,20/40,Cross FieldKicks,KickedDead,Errors,Handling Errors,One on OneLost,Penalties,Ruck Infringements,Inside 10Metres,OnReport,SinBins,SendOffs,StintOne,StintTwo
Sebastian Kris,1,Fullback,80,4,1,0,0,0,0.0,0,0,50,16,177,32,68,1,0,0,0,5,2,0,4.06,0,0,0,0,0,4,23,0.25,84.62,11,2,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,80,0
Albert Hopoate,2,Winger,80,0,0,0,0,0,0.0,0,0,13,15,144,57,42,0,0,0,0,0,0,0,3.97,1,11,0,0,0,3,17,0.2,57.14,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80,0
Jarrod Croker,3,Centre,80,12,0,6,6,0,100.0,0,0,12,7,43,0,15,0,0,0,0,1,0,0,3.45,0,0,0,0,0,4,9,0.57,56.52,13,9,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,80,0
Matthew Timoko,4,Centre,80,8,2,0,0,0,0.0,0,0,87,16,250,0,56,3,0,0,0,9,1,0,4.3,1,1,0,1,0,3,18,0.19,100.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,80,0
Jordan Rapana,5,Winger,80,4,1,0,0,0,0.0,0,0,32,12,89,27,30,1,1,0,0,5,2,0,3.88,1,5,0,0,0,7,22,0.58,80.0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,80,0
Jack Wighton,6,Five-Eighth,49,0,0,0,0,0,0.0,0,0,20,7,61,0,16,0,0,0,0,0,6,0,3.39,0,0,0,0,0,13,20,1.86,77.78,21,5,1,0,0,1,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,22
Jamal Fogarty,7,Halfback,80,0,0,0,0,0,0.0,0,0,42,4,50,0,22,0,0,1,0,1,0,0,5.4,0,0,0,0,0,34,50,8.5,80.56,29,5,2,0,0,12,357,1,3,2,0,0,1,0,1,1,0,0,0,0,0,0,0,80,0
Emre Guler,8,Interchange,48,0,0,0,0,0,0.0,0,0,39,11,90,0,33,0,0,0,0,1,11,0,4.08,0,0,0,1,0,1,12,0.09,88.24,30,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
Zac Woolford,9,Hooker,80,0,0,0,0,0,0.0,0,0,51,5,33,0,1,0,1,1,0,0,0,0,4.44,5,33,0,0,1,97,101,19.4,97.67,42,0,1,0,1,2,64,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,80,0
Joseph Tapine,10,Prop,55,4,1,0,0,0,0.0,0,0,69,14,131,23,40,1,0,0,0,7,12,0,3.7,0,0,0,1,0,2,15,0.14,88.89,32,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,28
Hudson Young,11,2nd Row,80,0,0,0,0,0,0.0,0,0,49,14,113,0,33,0,0,0,0,0,13,0,4.19,1,4,0,0,0,2,17,0.14,90.24,37,3,1,0,0,1,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,80,0
Elliott Whitehead,12,2nd Row,80,0,0,0,0,0,0.0,0,0,53,11,68,0,27,0,1,0,0,3,10,0,3.72,0,0,0,2,0,8,17,0.73,90.7,39,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Ata Mariota,13,Prop,32,0,0,0,0,0,0.0,0,0,17,5,45,15,14,0,0,0,0,0,4,0,4.22,0,0,0,0,0,0,5,0.0,80.95,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11
