Player,Number,Position,MinsPlayed,Points,Tries,Conversions,Conversion Attempts,PenaltyGoals,1 Point FieldGoals,2 Point FieldGoals,TotalPoints,AllRuns,All RunMetres,Kick ReturnMetres,Post ContactMetres,LineBreaks,Line BreakAssists,TryAssists,Line EngagedRuns,TackleBreaks,HitUps,Play TheBall,Average Play The BallSpeed,Dummy HalfRuns,Dummy Half RunMetres,One on OneSteal,Offloads,DummyPasses,Passes,Receipts,Passes To RunRatio,Tackle Efficiency,TacklesMade,MissedTackles,Ineffective Tackles,Intercepts,KicksDefused,Kicks,KickingMetres,Forced DropOuts,BombKicks,Grubbers,40/20,20/40,Cross FieldKicks,KickedDead,Errors,Handling Errors,One on OneLost,Penalties,Ruck Infringements,Inside 10Metres,OnReport,SinBins,SendOffs,StintOne,StintTwo
Jahream Bula,1,Fullback,80,0,0,0,0,0,0,0,36,21,190,83,39,0,1,0,0,1,0,0,3.66,2,17,0,0,0,20,42,0.95,87.5,7,1,0,0,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
David Nofoaluma,2,Winger,80,0,0,0,0,0,0,0,26,23,201,73,61,0,0,0,0,0,1,0,3.68,0,0,0,0,0,3,30,0.13,100.0,8,0,0,0,2,2,8,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,80,0
Starford To'a,3,Centre,80,0,0,0,0,0,0,0,41,24,203,9,68,0,0,0,0,2,1,0,3.47,0,0,0,2,2,6,29,0.25,88.24,15,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
Tommy Talau,4,Centre,59,0,0,0,0,0,0,0,21,7,71,0,24,0,0,0,0,0,0,0,2.75,0,0,0,0,0,3,10,0.43,91.67,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0
Junior Tupou,5,Winger,80,0,0,0,0,0,0,0,6,9,75,0,20,0,0,0,0,0,0,0,3.13,0,0,0,1,0,1,11,0.11,71.43,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,80,0
Brandon Wakeham,6,Five-Eighth,80,0,0,0,0,0,0,0,33,8,34,4,4,0,0,0,0,0,0,0,3.73,0,0,0,0,2,49,61,6.13,92.0,23,2,0,0,1,9,301,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,80,0
Luke Brooks,7,Halfback,80,0,0,0,0,0,0,0,44,7,59,0,7,1,0,0,0,0,0,0,2.82,1,10,0,0,5,44,62,6.29,81.82,27,6,0,0,0,16,428,1,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,80,0
Stefano Utoikamanu,8,Prop,46,0,0,0,0,0,0,0,46,10,91,0,42,0,0,0,0,3,10,0,2.74,0,0,0,0,0,2,12,0.2,97.06,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,29
Apisai Koroisau,9,Hooker,61,0,0,0,0,0,0,0,29,3,26,0,7,0,0,0,0,0,1,0,3.68,2,20,0,0,5,89,91,29.67,84.78,39,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,29
David Klemmer,10,Prop,48,0,0,0,0,0,0,0,43,14,147,11,58,0,0,0,0,0,13,0,2.94,0,0,0,0,0,5,19,0.36,96.67,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,24
Isaiah Papali'i,11,2nd Row,80,0,0,0,0,0,0,0,63,13,100,0,31,0,0,0,0,7,12,0,3.15,0,0,0,0,1,3,15,0.23,91.84,45,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
John Bateman,12,2nd Row,80,0,0,0,0,0,0,0,51,13,131,0,43,0,0,0,0,1,12,0,3.29,0,0,0,3,1,3,15,0.23,90.91,30,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
Fonua Pole,13,Lock,57,0,0,0,0,0,0,0,35,6,56,0,29,0,0,0,0,0,6,0,2.65,0,0,0,0,0,0,6,0.0,91.67,33,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,50,6
