Player,Number,Position,MinsPlayed,Points,Tries,Conversions,Conversion Attempts,PenaltyGoals,Goal ConversionRate,1 Point FieldGoals,2 Point FieldGoals,TotalPoints,AllRuns,All RunMetres,Kick ReturnMetres,Post ContactMetres,LineBreaks,Line BreakAssists,TryAssists,Line EngagedRuns,TackleBreaks,HitUps,Play TheBall,Average Play The BallSpeed,Dummy HalfRuns,Dummy Half RunMetres,One on OneSteal,Offloads,DummyPasses,Passes,Receipts,Passes To RunRatio,Tackle Efficiency,TacklesMade,MissedTackles,Ineffective Tackles,Intercepts,KicksDefused,Kicks,KickingMetres,Forced DropOuts,BombKicks,Grubbers,40/20,20/40,Cross FieldKicks,KickedDead,Errors,Handling Errors,One on OneLost,Penalties,Ruck Infringements,Inside 10Metres,OnReport,SinBins,SendOffs,StintOne,StintTwo
Tyrell Sloan,1,Fullback,80,4,1,0,0,0,0.0,0,0,40,10,116,0,12,2,0,0,0,7,0,0,4.04,0,0,0,1,0,14,24,1.4,42.86,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,80,0
Mathew Feagai,2,Winger,80,0,0,0,0,0,0.0,0,0,3,7,35,5,10,0,0,0,0,1,0,0,4.06,0,0,0,0,0,4,12,0.57,20.0,1,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Mosese Suli,3,Centre,43,0,0,0,0,0,0.0,0,0,7,6,52,0,21,0,0,0,0,0,1,0,3.94,0,0,0,0,0,2,9,0.33,83.33,10,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,42,0
Zac Lomax,4,Centre,80,6,0,3,3,0,100.0,0,0,39,13,93,0,34,0,0,0,0,2,0,0,3.19,2,18,0,1,0,5,16,0.38,84.62,22,2,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,80,0
Mikaele Ravalawa,5,Winger,80,0,0,0,0,0,0.0,0,0,8,13,87,11,22,0,0,0,0,2,0,0,4.1,0,0,0,0,0,1,15,0.08,66.67,4,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,80,0
Jayden Sullivan,6,Five-Eighth,80,0,0,0,0,0,0.0,0,0,48,9,60,0,10,0,1,0,0,4,0,0,3.89,3,10,0,1,5,43,52,4.78,88.89,24,1,2,0,0,3,27,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,80,0
Ben Hunt,7,Halfback,80,0,0,0,0,0,0.0,0,0,30,13,88,0,9,0,0,0,0,0,0,0,3.18,0,0,0,0,12,39,56,3.0,70.0,14,4,2,0,0,14,444,0,4,1,0,0,2,0,1,1,0,0,0,0,0,0,0,80,0
Francis Molo,8,Prop,44,4,1,0,0,0,0.0,0,0,43,13,112,0,46,0,0,0,0,0,13,0,4.14,0,0,0,1,0,0,14,0.0,91.67,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,23
Jacob Liddle,9,Hooker,57,0,0,0,0,0,0.0,0,0,46,5,31,0,3,0,1,1,0,0,0,0,3.3,5,31,0,0,1,75,77,15.0,89.8,44,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,57,0
Blake Lawrie,10,Prop,52,0,0,0,0,0,0.0,0,0,49,12,98,23,23,0,0,0,0,0,10,0,4.21,0,0,0,1,0,0,12,0.0,94.44,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30
Jack Bird,11,2nd Row,80,0,0,0,0,0,0.0,0,0,29,9,70,0,21,0,0,0,0,3,6,0,4.22,0,0,0,0,1,4,12,0.44,86.67,26,2,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,80,0
Jaydn Su'a,12,2nd Row,80,0,0,0,0,0,0.0,0,0,28,9,81,0,41,0,0,0,0,0,9,0,3.87,0,0,0,1,0,0,9,0.0,78.95,30,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80,0
Jack De Belin,13,Lock,80,0,0,0,0,0,0.0,0,0,63,16,99,0,17,0,0,0,0,0,7,0,3.47,0,0,0,0,2,16,23,1.0,93.22,55,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80,0
