Round_Number,Home_Team,Home_Score,Away_Team,Away_Score,Player,Tries
17,Storm,24,Sea Eagles,6,Nick Meaney,0
17,Storm,24,Sea Eagles,6,Will Warbrick,0
17,Storm,24,Sea Eagles,6,Reimis Smith,0
17,Storm,24,Sea Eagles,6,Justin Olam,0
17,Storm,24,Sea Eagles,6,Xavier Coates,2
17,Storm,24,Sea Eagles,6,Jonah Pezet,0
17,Storm,24,Sea Eagles,6,Jahrome Hughes,1
17,Storm,24,Sea Eagles,6,Christian Welch captain,0
17,Storm,24,Sea Eagles,6,Harry Grant,0
17,Storm,24,Sea Eagles,6,Tariq Sims,0
17,Storm,24,Sea Eagles,6,Trent Loiero,0
17,Storm,24,Sea Eagles,6,Nelson Asofa-Solomona,1
17,Storm,24,Sea Eagles,6,Josh King,0
17,Storm,24,Sea Eagles,6,Reuben Garrick,0
17,Storm,24,Sea Eagles,6,Christian Tuipulotu,0
17,Storm,24,Sea Eagles,6,Tolutau Koula,0
17,Storm,24,Sea Eagles,6,Morgan Harper,0
17,Storm,24,Sea Eagles,6,Raymond Tuaimalo Vaega,0
17,Storm,24,Sea Eagles,6,Joshua Schuster,0
17,Storm,24,Sea Eagles,6,Daly Cherry-Evans captain,0
17,Storm,24,Sea Eagles,6,Taniela Paseka,0
17,Storm,24,Sea Eagles,6,Lachlan Croker,0
17,Storm,24,Sea Eagles,6,Toafofoa Sipley,0
17,Storm,24,Sea Eagles,6,Haumole Olakau'atu,1
17,Storm,24,Sea Eagles,6,Ethan Bullemor,0
17,Storm,24,Sea Eagles,6,Aaron Woods,0
