Player,Number,Position,MinsPlayed,Points,Tries,Conversions,Conversion Attempts,PenaltyGoals,Goal ConversionRate,1 Point FieldGoals,2 Point FieldGoals,TotalPoints,AllRuns,All RunMetres,Kick ReturnMetres,Post ContactMetres,LineBreaks,Line BreakAssists,TryAssists,Line EngagedRuns,TackleBreaks,HitUps,Play TheBall,Average Play The BallSpeed,Dummy HalfRuns,Dummy Half RunMetres,One on OneSteal,Offloads,DummyPasses,Passes,Receipts,Passes To RunRatio,Tackle Efficiency,TacklesMade,MissedTackles,Ineffective Tackles,Intercepts,KicksDefused,Kicks,KickingMetres,Forced DropOuts,BombKicks,Grubbers,40/20,20/40,Cross FieldKicks,KickedDead,Errors,Handling Errors,One on OneLost,Penalties,Ruck Infringements,Inside 10Metres,OnReport,SinBins,SendOffs,StintOne,StintTwo
Charnze Nicoll-Klokstad,1,Fullback,80,4,1,0,0,0,0.0,0,0,39,24,198,43,45,1,1,1,0,1,1,0,3.22,0,0,0,0,0,17,40,0.71,60.0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
Dallin Watene-Zelezniak,2,Winger,80,8,2,0,0,0,0.0,0,0,49,16,117,17,32,2,0,0,0,3,0,0,3.21,0,0,0,2,1,5,24,0.31,100.0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
Rocco Berry,3,Centre,80,4,1,0,0,0,0.0,0,0,64,11,129,23,27,2,1,2,0,7,0,0,3.47,0,0,0,0,2,3,12,0.27,88.24,15,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,80,0
Adam Pompey,4,Centre,80,4,1,0,0,0,0.0,0,0,20,9,66,0,20,1,0,0,0,3,0,0,3.69,0,0,0,0,1,3,10,0.33,60.0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Marcelo Montoya,5,Winger,80,0,0,0,0,0,0.0,0,0,18,15,119,33,15,0,0,0,0,2,0,0,3.28,1,2,0,0,0,0,15,0.0,57.14,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,80,0
Luke Metcalf,6,Five-Eighth,80,6,1,1,1,0,100.0,0,0,37,8,95,0,17,0,0,0,0,3,0,0,3.57,0,0,0,0,1,18,28,2.25,80.0,20,5,0,0,0,2,36,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,80,0
Shaun Johnson,7,Halfback,70,10,0,5,7,0,71.43,0,0,82,12,61,0,2,0,3,3,0,1,0,0,3.55,0,0,0,0,1,36,60,3.0,82.35,14,2,1,0,0,19,601,1,3,4,1,0,2,0,1,0,0,0,0,0,0,0,0,70,0
Addin Fonua-Blake,8,Prop,65,4,1,0,0,0,0.0,0,0,69,20,183,33,62,1,0,0,0,4,16,0,3.01,0,0,0,3,0,5,24,0.25,96.0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,49,15
Wayde Egan,9,Hooker,80,0,0,0,0,0,0.0,0,0,32,4,57,0,13,1,0,1,0,1,1,0,2.8,3,50,0,0,1,126,128,31.5,82.5,33,7,0,0,0,1,28,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,80,0
Mitchell Barnett,10,2nd Row,68,0,0,0,0,0,0.0,0,0,44,18,165,5,59,0,0,0,0,4,17,0,3.43,0,0,0,0,0,1,19,0.06,84.85,28,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,14
Jackson Ford,11,2nd Row,80,0,0,0,0,0,0.0,0,0,40,12,89,0,28,0,0,0,0,2,12,0,3.64,0,0,0,0,0,2,14,0.17,86.36,38,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Josh Curran,12,Interchange,41,4,1,0,0,0,0.0,0,0,35,8,44,4,14,1,0,0,0,3,7,0,3.55,0,0,0,1,0,1,9,0.13,85.71,12,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
Tohu Harris,13,Lock,36,0,0,0,0,0,0.0,0,0,31,13,96,26,25,0,0,0,0,2,9,0,4.16,0,0,0,1,0,4,15,0.31,100.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,11
