Player,Number,Position,MinsPlayed,Points,Tries,Conversions,Conversion Attempts,PenaltyGoals,Goal ConversionRate,1 Point FieldGoals,2 Point FieldGoals,TotalPoints,AllRuns,All RunMetres,Kick ReturnMetres,Post ContactMetres,LineBreaks,Line BreakAssists,TryAssists,Line EngagedRuns,TackleBreaks,HitUps,Play TheBall,Average Play The BallSpeed,Dummy HalfRuns,Dummy Half RunMetres,One on OneSteal,Offloads,DummyPasses,Passes,Receipts,Passes To RunRatio,Tackle Efficiency,TacklesMade,MissedTackles,Ineffective Tackles,Intercepts,KicksDefused,Kicks,KickingMetres,Forced DropOuts,BombKicks,Grubbers,40/20,20/40,Cross FieldKicks,KickedDead,Errors,Handling Errors,One on OneLost,Penalties,Ruck Infringements,Inside 10Metres,OnReport,SinBins,SendOffs,StintOne,StintTwo
William Kennedy,1,Fullback,80,0,0,0,0,0,0.0,0,0,19,13,128,45,28,0,0,0,0,4,3,0,3.93,0,0,0,1,3,5,19,0.38,57.14,4,2,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,80,0
Sione Katoa,2,Winger,80,0,0,0,0,0,0.0,0,0,50,15,165,41,31,1,0,0,0,13,0,0,3.2,0,0,0,1,0,1,17,0.07,66.67,4,2,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,80,0
Jesse Ramien,3,Centre,80,0,0,0,0,0,0.0,0,0,39,11,95,6,36,0,0,0,0,6,3,0,3.46,0,0,0,0,0,3,14,0.27,100.0,18,0,0,0,0,1,16,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
Siosifa Talakai,4,Centre,80,0,0,0,0,0,0.0,0,0,11,13,104,0,36,0,1,0,0,2,0,0,3.41,0,0,0,0,0,5,16,0.38,58.33,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80,0
Ronaldo Mulitalo,5,Winger,80,0,0,0,0,0,0.0,0,0,13,8,50,21,15,1,0,0,0,2,0,0,3.39,0,0,0,0,0,2,13,0.25,77.78,7,2,0,0,3,2,2,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,80,0
Matt Moylan,6,Five-Eighth,80,0,0,0,0,0,0.0,0,0,37,10,71,0,8,0,2,2,0,0,0,0,3.08,0,0,0,0,1,32,42,3.2,74.07,20,6,1,0,0,6,139,1,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
Nicholas Hynes,7,Halfback,77,8,1,2,2,0,100.0,0,0,61,18,126,0,6,1,0,0,0,7,0,0,3.11,1,2,0,0,4,43,60,2.39,90.91,20,1,1,0,1,11,348,0,2,0,0,0,1,0,1,2,0,2,0,0,0,1,0,77,0
Oregon Kaufusi,8,Prop,52,0,0,0,0,0,0.0,0,0,30,7,57,11,18,0,0,0,0,0,6,0,2.93,0,0,0,0,0,2,9,0.29,93.75,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,25
Blayke Brailey,9,Hooker,78,0,0,0,0,0,0.0,0,0,42,3,19,0,2,0,0,0,0,0,0,0,3.2,3,19,0,0,1,102,105,34.0,95.56,43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0
Toby Rudolf,10,Prop,44,0,0,0,0,0,0.0,0,0,25,7,93,37,39,0,0,0,0,1,5,0,3.58,0,0,0,0,1,1,8,0.14,80.0,24,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,23,21
Briton Nikora,11,2nd Row,80,4,1,0,0,0,0.0,0,0,66,11,94,0,41,1,0,0,0,4,11,0,3.45,0,0,0,0,1,3,14,0.27,91.67,44,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80,0
Teig Wilton,12,2nd Row,16,0,0,0,0,0,0.0,0,0,11,4,29,0,12,0,0,0,0,0,4,0,3.53,0,0,0,0,0,0,4,0.0,90.0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
Cameron McInnes,13,Lock,50,0,0,0,0,0,0.0,0,0,50,11,88,0,31,0,0,0,0,1,10,0,2.33,0,0,0,0,0,12,22,1.09,95.45,42,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,48,1
