Player,Number,Position,MinsPlayed,Points,Tries,Conversions,Conversion Attempts,PenaltyGoals,Goal ConversionRate,1 Point FieldGoals,2 Point FieldGoals,TotalPoints,AllRuns,All RunMetres,Kick ReturnMetres,Post ContactMetres,LineBreaks,Line BreakAssists,TryAssists,Line EngagedRuns,TackleBreaks,HitUps,Play TheBall,Average Play The BallSpeed,Dummy HalfRuns,Dummy Half RunMetres,One on OneSteal,Offloads,DummyPasses,Passes,Receipts,Passes To RunRatio,Tackle Efficiency,TacklesMade,MissedTackles,Ineffective Tackles,Intercepts,KicksDefused,Kicks,KickingMetres,Forced DropOuts,BombKicks,Grubbers,40/20,20/40,Cross FieldKicks,KickedDead,Errors,Handling Errors,One on OneLost,Penalties,Ruck Infringements,Inside 10Metres,OnReport,SinBins,SendOffs,StintOne,StintTwo
Reece Walsh,1,Fullback,80,4,1,0,0,0,0.0,0,0,54,16,175,73,26,0,3,1,0,3,1,0,3.13,1,0,0,1,5,25,40,1.56,75.0,6,2,0,0,3,3,60,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,80,0
Corey Oates,2,Winger,43,0,0,0,0,0,0.0,0,0,27,9,142,59,40,2,0,1,0,1,0,0,3.26,0,0,0,0,0,1,11,0.11,0.0,0,0,0,0,0,1,11,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,43,0
Kotoni Staggs,3,Centre,80,4,1,0,0,0,0.0,0,0,18,11,91,14,32,0,0,0,0,1,0,0,3.49,1,1,0,0,0,8,18,0.73,60.0,9,5,1,0,0,2,24,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,80,0
Herbie Farnworth,4,Centre,80,0,0,0,0,0,0.0,0,0,48,20,244,0,92,1,0,1,0,4,0,0,3.39,1,7,0,0,1,3,23,0.15,88.89,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,80,0
Selwyn Cobbo,5,Winger,80,0,0,0,0,0,0.0,0,0,21,12,96,16,38,0,0,0,0,2,0,0,3.05,2,22,0,0,1,3,15,0.25,100.0,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Ezra Mam,6,Five-Eighth,80,8,2,0,0,0,0.0,0,0,54,17,183,0,36,0,0,0,0,3,0,0,4.71,1,7,0,1,2,17,34,1.0,90.0,18,1,1,0,0,1,4,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,80,0
Adam Reynolds,7,Halfback,80,8,0,3,5,1,66.67,0,0,59,5,29,0,0,0,0,1,0,3,0,0,0.0,0,0,0,2,3,37,55,7.4,88.24,15,1,1,0,0,16,407,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Corey Jensen,8,Prop,44,0,0,0,0,0,0.0,0,0,28,10,106,0,51,0,0,0,0,0,10,0,2.8,0,0,0,0,0,0,10,0.0,95.45,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25,18
Billy Walters,9,Hooker,46,0,0,0,0,0,0.0,0,0,36,6,55,0,19,0,0,0,0,1,1,0,2.97,5,44,0,1,1,55,59,9.17,90.32,28,3,0,0,1,2,62,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,27,18
Payne Haas,10,Prop,65,0,0,0,0,0,0.0,0,0,62,19,180,0,84,0,0,0,0,5,18,0,2.68,0,0,0,3,1,1,19,0.05,96.77,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50,14
Kurt Capewell,11,2nd Row,80,4,1,0,0,0,0.0,0,0,40,4,27,0,12,0,0,0,0,0,4,0,3.42,0,0,0,0,0,8,15,2.0,89.47,34,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
Jordan Riki,12,2nd Row,80,0,0,0,0,0,0.0,0,0,27,9,82,0,27,0,0,0,0,4,6,0,3.14,1,8,0,0,0,2,10,0.22,86.21,25,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,80,0
Patrick Carrigan,13,Lock,60,0,0,0,0,0,0.0,0,0,63,15,158,0,69,0,0,0,0,4,14,0,3.27,0,0,0,1,1,8,22,0.53,97.14,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,29
