Player,Number,Position,MinsPlayed,Points,Tries,Conversions,Conversion Attempts,PenaltyGoals,Goal ConversionRate,1 Point FieldGoals,2 Point FieldGoals,TotalPoints,AllRuns,All RunMetres,Kick ReturnMetres,Post ContactMetres,LineBreaks,Line BreakAssists,TryAssists,Line EngagedRuns,TackleBreaks,HitUps,Play TheBall,Average Play The BallSpeed,Dummy HalfRuns,Dummy Half RunMetres,One on OneSteal,Offloads,DummyPasses,Passes,Receipts,Passes To RunRatio,Tackle Efficiency,TacklesMade,MissedTackles,Ineffective Tackles,Intercepts,KicksDefused,Kicks,KickingMetres,Forced DropOuts,BombKicks,Grubbers,40/20,20/40,Cross FieldKicks,KickedDead,Errors,Handling Errors,One on OneLost,Penalties,Ruck Infringements,Inside 10Metres,OnReport,SinBins,SendOffs,StintOne,StintTwo
Latrell Mitchell,1,Fullback,80,4,0,2,3,0,66.67,0,0,23,9,61,25,12,0,2,0,0,2,0,0,3.43,1,8,1,0,0,24,31,2.67,37.5,3,4,1,0,2,2,19,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,80,0
Alex Johnston,2,Winger,80,8,2,0,0,0,0.0,0,0,51,14,151,48,12,2,0,0,0,2,0,0,3.15,1,10,0,0,0,2,16,0.14,100.0,4,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Isaiah Tass,3,Centre,80,0,0,0,0,0,0.0,0,0,20,14,133,0,29,0,0,0,0,1,0,0,3.65,0,0,0,0,1,6,20,0.43,84.62,11,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,80,0
Campbell Graham,4,Centre,80,4,1,0,0,0,0.0,0,0,35,10,116,0,25,2,0,0,0,1,0,0,3.26,0,0,0,0,0,2,15,0.2,80.0,16,3,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,80,0
Taane Milne,5,Winger,80,0,0,0,0,0,0.0,0,0,30,14,125,12,26,0,0,0,0,3,1,0,2.78,0,0,0,1,0,1,15,0.07,50.0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,80,0
Cody Walker,6,Five-Eighth,80,0,0,0,0,0,0.0,0,0,67,9,90,0,19,1,3,3,0,2,0,0,1.76,1,9,0,2,1,27,41,3.0,78.95,15,4,0,0,0,10,288,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,80,0
Lachlan Ilias,7,Halfback,80,0,0,0,0,0,0.0,0,0,28,8,64,4,6,0,0,0,0,3,0,0,3.4,0,0,0,0,1,20,31,2.5,76.19,16,4,1,0,0,8,247,0,2,0,0,0,0,0,3,1,0,1,0,0,0,0,0,80,0
Tevita Tatola,8,Prop,54,0,0,0,0,0,0.0,0,0,44,9,90,0,31,0,0,0,0,0,9,0,3.0,0,0,0,0,1,0,9,0.0,90.24,37,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,25
Damien Cook,9,Hooker,80,0,0,0,0,0,0.0,0,0,52,7,67,0,20,0,0,0,0,2,2,0,4.35,4,42,0,0,2,98,106,14.0,87.27,48,1,6,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,80,0
Hame Sele,10,Prop,45,0,0,0,0,0,0.0,0,0,31,12,138,35,50,0,0,0,0,1,9,0,3.44,0,0,0,0,0,1,13,0.08,88.0,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,26
Michael Chee Kam,11,2nd Row,80,0,0,0,0,0,0.0,0,0,36,12,95,0,36,0,0,0,0,0,11,0,2.68,0,0,0,0,0,1,13,0.08,93.94,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,80,0
Jacob Host,12,Interchange,52,0,0,0,0,0,0.0,0,0,20,4,31,0,9,0,0,0,0,0,4,0,3.59,0,0,0,0,0,1,5,0.25,79.17,19,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0
Cameron Murray,13,Lock,58,0,0,0,0,0,0.0,0,0,44,12,105,0,17,0,0,0,0,0,5,0,2.56,0,0,0,0,1,9,14,0.75,84.0,42,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31,25
