Player,Number,Position,MinsPlayed,Points,Tries,Conversions,Conversion Attempts,PenaltyGoals,Goal ConversionRate,1 Point FieldGoals,2 Point FieldGoals,TotalPoints,AllRuns,All RunMetres,Kick ReturnMetres,Post ContactMetres,LineBreaks,Line BreakAssists,TryAssists,Line EngagedRuns,TackleBreaks,HitUps,Play TheBall,Average Play The BallSpeed,Dummy HalfRuns,Dummy Half RunMetres,One on OneSteal,Offloads,DummyPasses,Passes,Receipts,Passes To RunRatio,Tackle Efficiency,TacklesMade,MissedTackles,Ineffective Tackles,Intercepts,KicksDefused,Kicks,KickingMetres,Forced DropOuts,BombKicks,Grubbers,40/20,20/40,Cross FieldKicks,KickedDead,Errors,Handling Errors,One on OneLost,Penalties,Ruck Infringements,Inside 10Metres,OnReport,SinBins,SendOffs,StintOne,StintTwo
Hayze Perham,1,Fullback,80,0,0,0,0,0,0.0,0,0,26,18,122,44,16,0,0,1,0,1,0,0,3.4,0,0,0,1,0,16,34,0.89,77.78,7,2,0,0,2,1,2,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,80,0
Jacob Kiraz,2,Winger,80,4,1,0,0,0,0.0,0,0,31,17,121,16,28,0,0,0,0,4,0,0,3.81,0,0,0,0,0,5,21,0.29,53.85,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Jake Averillo,3,Centre,80,4,1,0,0,0,0.0,0,0,32,10,84,0,9,0,0,0,0,1,0,0,3.43,1,6,0,1,0,9,12,0.9,72.73,16,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Paul Alamoti,4,Centre,80,0,0,0,0,0,0.0,0,0,30,16,102,0,25,0,0,0,0,2,1,0,4.12,0,0,0,2,0,4,19,0.25,82.35,14,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,80,0
Josh Addo-Carr,5,Winger,80,4,1,0,0,0,0.0,0,0,20,9,88,15,18,0,0,0,0,0,0,0,3.87,3,31,0,0,0,4,18,0.44,83.33,5,1,0,0,2,3,40,0,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,80,0
Karl Oloapu,6,Five-Eighth,80,0,0,0,0,0,0.0,0,0,31,5,29,0,1,0,0,0,0,1,0,0,4.33,0,0,0,0,0,28,37,5.6,84.85,28,2,3,0,0,5,176,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80,0
Matt Burton,7,Halfback,80,4,0,2,4,0,50.0,0,0,61,10,105,0,10,1,0,2,0,5,0,0,3.17,0,0,0,2,3,25,39,2.5,70.0,14,3,3,0,0,10,280,2,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,80,0
Max King,8,Prop,46,0,0,0,0,0,0.0,0,0,49,13,118,8,39,0,0,0,0,1,12,0,3.83,0,0,0,1,1,1,14,0.08,91.89,34,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,18
Reed Mahoney,9,Hooker,69,0,0,0,0,0,0.0,0,0,17,4,29,0,1,0,0,0,0,0,0,0,3.52,3,25,0,0,3,93,101,23.25,73.17,30,6,5,0,0,5,138,0,0,2,0,0,0,0,1,1,0,2,1,0,1,0,0,28,39
Tevita Pangai Junior,10,Prop,57,0,0,0,0,0,0.0,0,0,74,19,213,41,74,0,0,0,0,2,15,0,3.79,0,0,0,2,0,2,19,0.11,85.0,34,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20
Corey Waddell,11,2nd Row,50,0,0,0,0,0,0.0,0,0,7,9,63,0,19,0,0,0,0,0,9,0,4.0,0,0,0,0,0,4,13,0.44,63.64,21,9,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,40,10
Jacob Preston,12,2nd Row,80,0,0,0,0,0,0.0,0,0,67,12,130,0,57,0,0,0,0,4,12,0,3.77,0,0,0,0,0,1,14,0.08,89.58,43,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80,0
Harrison Edwards,13,Interchange,63,0,0,0,0,0,0.0,0,0,37,12,97,0,25,0,0,0,0,2,10,0,4.18,0,0,0,0,0,23,33,1.92,85.0,34,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0
