Player,Number,Position,MinsPlayed,Points,Tries,Conversions,Conversion Attempts,PenaltyGoals,Goal ConversionRate,1 Point FieldGoals,2 Point FieldGoals,TotalPoints,AllRuns,All RunMetres,Kick ReturnMetres,Post ContactMetres,LineBreaks,Line BreakAssists,TryAssists,Line EngagedRuns,TackleBreaks,HitUps,Play TheBall,Average Play The BallSpeed,Dummy HalfRuns,Dummy Half RunMetres,One on OneSteal,Offloads,DummyPasses,Passes,Receipts,Passes To RunRatio,Tackle Efficiency,TacklesMade,MissedTackles,Ineffective Tackles,Intercepts,KicksDefused,Kicks,KickingMetres,Forced DropOuts,BombKicks,Grubbers,40/20,20/40,Cross FieldKicks,KickedDead,Errors,Handling Errors,One on OneLost,Penalties,Ruck Infringements,Inside 10Metres,OnReport,SinBins,SendOffs,StintOne,StintTwo
Jahream Bula,1,Fullback,80,0,0,0,0,0,0.0,0,0,28,17,146,69,52,0,0,0,0,3,0,0,3.37,0,0,0,0,0,15,36,0.88,75.0,9,1,2,0,3,1,27,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,80,0
David Nofoaluma,2,Winger,80,0,0,0,0,0,0.0,0,0,41,16,130,25,37,1,0,0,0,3,1,0,3.38,0,0,0,2,0,8,24,0.5,100.0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
Starford To'a,3,Centre,80,0,0,0,0,0,0.0,0,0,24,16,142,0,57,0,1,0,0,1,0,0,3.88,0,0,0,0,0,3,16,0.19,75.0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Tommy Talau,4,Centre,80,0,0,0,0,0,0.0,0,0,28,16,169,0,43,0,2,2,0,0,0,0,3.29,0,0,0,0,1,7,21,0.44,57.14,8,5,1,0,0,1,15,1,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,80,0
Junior Tupou,5,Winger,80,8,2,0,0,0,0.0,0,0,77,17,221,34,49,4,0,1,0,7,0,0,3.36,0,0,0,1,0,5,24,0.29,50.0,2,1,1,0,2,2,17,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,80,0
Daine Laurie,6,Five-Eighth,80,0,0,0,0,0,0.0,0,0,48,11,99,0,12,1,2,0,0,2,0,0,3.41,1,32,0,0,0,38,51,3.45,95.83,23,0,1,0,0,6,149,1,3,1,0,0,0,0,1,2,0,2,0,0,0,0,0,80,0
Brandon Wakeham,7,Halfback,80,2,0,1,3,0,33.33,0,0,42,15,74,3,11,0,0,0,0,0,0,0,3.81,0,0,0,1,2,46,63,3.07,90.0,18,0,2,0,1,10,267,0,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,80,0
Stefano Utoikamanu,8,Prop,55,0,0,0,0,0,0.0,0,0,57,16,142,42,61,0,0,0,0,2,13,0,3.32,0,0,0,2,0,4,19,0.25,94.59,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,29
Apisai Koroisau,9,Hooker,68,4,1,0,0,0,0.0,0,0,52,13,96,0,12,0,0,0,0,0,0,0,3.79,10,75,0,0,1,106,110,8.15,88.1,37,4,1,0,0,2,65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,13
David Klemmer,10,Prop,49,0,0,0,0,0,0.0,0,0,49,13,114,16,42,0,0,0,0,0,12,0,2.74,0,0,0,1,1,8,21,0.62,100.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,19
Isaiah Papali'i,11,2nd Row,80,0,0,0,0,0,0.0,0,0,50,15,128,0,55,0,0,0,0,3,14,0,2.92,0,0,0,2,0,8,21,0.53,81.58,31,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
John Bateman,12,2nd Row,80,0,0,0,0,0,0.0,0,0,52,15,119,0,34,0,0,0,0,0,12,0,2.91,0,0,0,4,0,7,20,0.47,86.67,39,4,2,0,0,1,5,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,80,0
Tallyn Da Silva,14,Interchange,12,0,0,0,0,0,0.0,0,0,9,1,9,0,4,0,0,0,0,0,1,0,3.04,0,0,0,0,0,14,15,14.0,91.67,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0
