Player,Number,Position,MinsPlayed,Points,Tries,Conversions,Conversion Attempts,PenaltyGoals,1 Point FieldGoals,2 Point FieldGoals,TotalPoints,AllRuns,All RunMetres,Kick ReturnMetres,Post ContactMetres,LineBreaks,Line BreakAssists,TryAssists,Line EngagedRuns,TackleBreaks,HitUps,Play TheBall,Average Play The BallSpeed,Dummy HalfRuns,Dummy Half RunMetres,One on OneSteal,Offloads,DummyPasses,Passes,Receipts,Passes To RunRatio,Tackle Efficiency,TacklesMade,MissedTackles,Ineffective Tackles,Intercepts,KicksDefused,Kicks,KickingMetres,Forced DropOuts,BombKicks,Grubbers,40/20,20/40,Cross FieldKicks,KickedDead,Errors,Handling Errors,One on OneLost,Penalties,Ruck Infringements,Inside 10Metres,OnReport,SinBins,SendOffs,StintOne,StintTwo
Reece Walsh,1,Fullback,80,0,0,0,0,0,0,0,33,16,103,44,5,0,0,1,0,4,0,0,4.73,1,5,0,1,0,23,43,1.44,55.56,5,3,1,0,3,9,321,0,0,2,0,0,0,0,3,3,0,2,0,0,0,0,0,80,0
Jesse Arthars,2,Winger,80,0,0,0,0,0,0,0,20,17,137,36,35,0,0,0,0,2,2,0,3.43,1,6,0,0,0,3,22,0.18,60.0,3,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Kotoni Staggs,3,Centre,80,0,0,0,1,0,0,0,34,19,124,0,41,0,0,0,0,5,0,0,3.28,0,0,0,3,0,3,19,0.16,76.47,13,4,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,80,0
Herbie Farnworth,4,Centre,80,0,0,0,0,0,0,0,62,28,247,0,72,1,0,0,0,7,2,0,3.61,2,20,0,2,0,2,28,0.07,81.25,13,1,2,0,1,1,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Selwyn Cobbo,5,Winger,80,4,1,0,0,0,0,0,37,18,114,1,37,0,0,0,0,4,1,0,3.05,0,0,0,1,0,0,20,0.0,69.23,9,2,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,80,0
Ezra Mam,6,Five-Eighth,80,0,0,0,0,0,0,0,17,13,78,0,13,0,1,0,0,3,0,0,4.09,2,10,0,1,0,25,34,1.92,63.64,14,6,2,0,0,1,4,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,80,0
Jock Madden,7,Halfback,80,0,0,0,0,0,0,0,47,11,76,5,5,0,0,0,0,1,1,0,4.19,0,0,0,0,0,41,59,3.73,90.0,27,2,1,0,0,14,477,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,80,0
Thomas Flegler,8,Prop,47,0,0,0,0,0,0,0,40,12,102,0,41,0,0,0,0,3,12,0,3.57,0,0,0,0,0,1,13,0.08,90.91,30,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,22
Billy Walters,9,Hooker,53,0,0,0,0,0,0,0,39,1,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,5,72,71,72.0,97.83,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,29,22
Payne Haas,10,Prop,57,0,0,0,0,0,0,0,56,12,101,0,39,0,0,0,0,2,11,0,2.49,0,0,0,1,0,1,12,0.08,93.75,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,29
Kurt Capewell,11,2nd Row,67,0,0,0,0,0,0,0,33,7,61,0,21,0,0,0,0,3,7,0,3.63,0,0,0,0,0,0,7,0.0,72.73,32,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,66,0
Jordan Riki,12,2nd Row,75,0,0,0,0,0,0,0,38,5,44,0,14,0,0,0,0,1,5,0,2.81,0,0,0,0,0,0,5,0.0,87.5,35,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0
Patrick Carrigan,13,Lock,80,0,0,0,0,0,0,0,97,19,181,11,60,0,0,0,0,3,15,0,3.17,0,0,0,3,0,13,29,0.68,94.37,67,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
