Round_Number,Home_Team,Home_Score,Away_Team,Away_Score,Player,Tries
1,Cowboys,19,Raiders,18,Scott Drinkwater,2
1,Cowboys,19,Raiders,18,Kyle Feldt,0
1,Cowboys,19,Raiders,18,Valentine Holmes,0
1,Cowboys,19,Raiders,18,Peta Hiku,0
1,Cowboys,19,Raiders,18,Murray Taulagi,1
1,Cowboys,19,Raiders,18,Tom Dearden,0
1,Cowboys,19,Raiders,18,Chad Townsend captain,0
1,Cowboys,19,Raiders,18,Jordan McLean,0
1,Cowboys,19,Raiders,18,Reece Robson,0
1,Cowboys,19,Raiders,18,Reuben Cotter,0
1,Cowboys,19,Raiders,18,Coen Hess,0
1,Cowboys,19,Raiders,18,Jeremiah Nanai,0
1,Cowboys,19,Raiders,18,Jason Taumalolo,0
1,Cowboys,19,Raiders,18,Sebastian Kris,0
1,Cowboys,19,Raiders,18,Nick Cotric,0
1,Cowboys,19,Raiders,18,Matthew Timoko,0
1,Cowboys,19,Raiders,18,Harley Smith-Shields,0
1,Cowboys,19,Raiders,18,Jordan Rapana,0
1,Cowboys,19,Raiders,18,Jack Wighton,1
1,Cowboys,19,Raiders,18,Jamal Fogarty,0
1,Cowboys,19,Raiders,18,Pasami Saulo,0
1,Cowboys,19,Raiders,18,Danny Levi,0
1,Cowboys,19,Raiders,18,Joseph Tapine,0
1,Cowboys,19,Raiders,18,Hudson Young,0
1,Cowboys,19,Raiders,18,Elliott Whitehead captain,0
1,Cowboys,19,Raiders,18,Corey Harawira-Naera,0
