Player,Number,Position,MinsPlayed,Points,Tries,Conversions,Conversion Attempts,PenaltyGoals,Goal ConversionRate,1 Point FieldGoals,2 Point FieldGoals,TotalPoints,AllRuns,All RunMetres,Kick ReturnMetres,Post ContactMetres,LineBreaks,Line BreakAssists,TryAssists,Line EngagedRuns,TackleBreaks,HitUps,Play TheBall,Average Play The BallSpeed,Dummy HalfRuns,Dummy Half RunMetres,One on OneSteal,Offloads,DummyPasses,Passes,Receipts,Passes To RunRatio,Tackle Efficiency,TacklesMade,MissedTackles,Ineffective Tackles,Intercepts,KicksDefused,Kicks,KickingMetres,Forced DropOuts,BombKicks,Grubbers,40/20,20/40,Cross FieldKicks,KickedDead,Errors,Handling Errors,One on OneLost,Penalties,Ruck Infringements,Inside 10Metres,OnReport,SinBins,SendOffs,StintOne,StintTwo
Hayze Perham,1,Fullback,80,4,1,0,0,0,0.0,0,0,51,21,134,28,19,1,1,0,0,6,0,0,3.5,1,9,0,1,1,17,38,0.81,100.0,4,0,0,0,6,2,21,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,80,0
Jacob Kiraz,2,Winger,80,0,0,0,0,0,0.0,0,0,40,18,152,13,45,0,1,0,0,3,0,0,3.78,1,18,0,2,1,3,22,0.17,90.0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
Jake Averillo,3,Centre,67,0,0,0,0,0,0.0,0,0,33,12,92,0,27,0,0,0,0,1,1,0,3.1,1,8,1,3,1,4,15,0.33,76.92,10,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,67,0
Paul Alamoti,4,Centre,80,0,0,0,0,0,0.0,0,0,23,15,123,0,19,0,2,0,0,3,0,0,3.36,0,0,0,2,0,7,18,0.47,64.71,11,4,2,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,80,0
Josh Addo-Carr,5,Winger,80,0,0,0,0,0,0.0,0,0,23,10,94,20,19,1,0,0,0,4,1,0,3.36,1,6,0,0,0,7,20,0.7,45.45,5,2,4,0,1,2,25,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
Karl Oloapu,6,Five-Eighth,80,0,0,0,0,0,0.0,0,0,56,8,58,0,4,0,1,1,0,6,0,0,2.48,1,1,0,2,1,45,53,5.63,77.78,35,7,3,0,0,4,112,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Matt Burton,7,Halfback,80,8,1,2,2,0,100.0,0,0,75,15,133,0,29,1,1,0,0,3,0,0,3.84,0,0,0,2,8,34,64,2.27,72.0,18,4,3,0,0,15,519,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,80,0
Max King,8,Interchange,30,0,0,0,0,0,0.0,0,0,25,5,35,0,15,0,0,0,0,0,5,0,3.9,0,0,0,0,0,0,5,0.0,90.32,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0
Reed Mahoney,9,Hooker,69,0,0,0,0,0,0.0,0,0,39,4,28,0,1,1,0,0,0,1,2,0,4.8,0,0,0,0,1,82,85,20.5,81.48,44,6,4,0,0,2,17,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,69,0
Tevita Pangai Junior,10,Prop,51,0,0,0,0,0,0.0,0,0,47,15,131,0,43,0,0,0,0,0,12,0,2.83,1,7,0,5,0,5,17,0.33,82.76,24,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,25,24
Jayden Okunbor,11,2nd Row,69,0,0,0,0,0,0.0,0,0,24,9,78,0,36,0,0,0,0,2,9,0,3.55,0,0,0,0,0,3,14,0.33,82.86,29,6,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,59,9
Jacob Preston,12,2nd Row,80,0,0,0,0,0,0.0,0,0,65,16,193,0,63,2,0,0,0,5,14,0,3.36,1,11,0,1,0,1,16,0.06,78.05,32,5,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
Harrison Edwards,13,Lock,59,0,0,0,0,0,0.0,0,0,33,8,46,0,3,0,0,0,0,0,5,0,3.94,0,0,0,0,2,29,34,3.63,80.43,37,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,12
