Player,Number,Position,MinsPlayed,Points,Tries,Conversions,Conversion Attempts,PenaltyGoals,Goal ConversionRate,1 Point FieldGoals,2 Point FieldGoals,TotalPoints,AllRuns,All RunMetres,Kick ReturnMetres,Post ContactMetres,LineBreaks,Line BreakAssists,TryAssists,Line EngagedRuns,TackleBreaks,HitUps,Play TheBall,Average Play The BallSpeed,Dummy HalfRuns,Dummy Half RunMetres,One on OneSteal,Offloads,DummyPasses,Passes,Receipts,Passes To RunRatio,Tackle Efficiency,TacklesMade,MissedTackles,Ineffective Tackles,Intercepts,KicksDefused,Kicks,KickingMetres,Forced DropOuts,BombKicks,Grubbers,40/20,20/40,Cross FieldKicks,KickedDead,Errors,Handling Errors,One on OneLost,Penalties,Ruck Infringements,Inside 10Metres,OnReport,SinBins,SendOffs,StintOne,StintTwo
Sebastian Kris,1,Fullback,25,0,0,0,0,0,0.0,0,0,6,6,67,47,21,0,0,0,0,1,0,0,3.37,0,0,0,0,0,2,8,0.33,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
Albert Hopoate,2,Winger,80,12,3,0,0,0,0.0,0,0,59,21,217,0,66,2,0,0,0,3,0,0,2.75,0,0,0,0,1,2,22,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Jarrod Croker,3,Centre,80,12,0,4,5,2,85.71,0,0,45,5,68,0,11,1,2,3,0,1,0,0,4.04,0,0,0,0,0,5,8,1.0,85.71,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
Matthew Timoko,4,Centre,80,0,0,0,0,0,0.0,0,0,15,11,160,0,73,0,0,0,0,0,2,0,3.22,0,0,0,0,0,1,11,0.09,69.23,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80,0
Jordan Rapana,5,Winger,75,0,0,0,0,0,0.0,0,0,40,17,166,43,49,1,0,1,0,6,0,0,3.56,0,0,0,0,0,5,24,0.29,85.71,6,1,0,0,1,1,18,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,75,0
Jack Wighton,6,Five-Eighth,80,0,0,0,0,0,0.0,0,0,39,4,30,0,9,0,2,0,0,1,0,0,2.5,0,0,0,1,1,30,37,7.5,100.0,27,0,0,0,1,4,117,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,80,0
Jamal Fogarty,7,Halfback,80,1,0,0,0,0,0.0,1,0,39,4,22,0,2,0,0,0,0,0,0,0,5.3,0,0,0,0,1,30,46,7.5,95.0,19,1,0,0,1,13,373,2,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,80,0
Josh Papalii,8,Prop,54,0,0,0,0,0,0.0,0,0,72,18,216,73,66,0,1,0,0,4,13,0,3.48,0,0,0,2,1,0,18,0.0,100.0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,26
Zac Woolford,9,Hooker,61,0,0,0,0,0,0.0,0,0,44,3,31,0,12,0,0,0,0,2,0,0,2.26,3,31,0,0,1,77,79,25.67,97.37,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,4
Pasami Saulo,10,Prop,53,0,0,0,0,0,0.0,0,0,49,9,103,0,32,1,0,0,0,1,9,0,3.02,0,0,0,0,0,2,11,0.22,100.0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,27
Corey Harawira-Naera,11,2nd Row,66,0,0,0,0,0,0.0,0,0,44,9,95,12,41,0,0,0,0,2,8,0,3.14,0,0,0,1,0,1,9,0.11,96.88,31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,66,0
Corey Horsburgh,12,2nd Row,80,4,1,0,0,0,0.0,0,0,78,7,91,0,19,2,0,0,0,4,7,0,3.58,0,0,0,1,1,3,10,0.43,97.83,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,80,0
Joseph Tapine,13,Lock,68,0,0,0,0,0,0.0,0,0,75,20,227,0,102,0,0,0,0,1,16,0,3.06,0,0,0,1,0,5,21,0.25,100.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,53,14
