Round_Number,Home_Team,Home_Score,Away_Team,Away_Score,Player,Tries
1,Warriors,20,Knights,12,Charnze Nicoll-Klokstad,1
1,Warriors,20,Knights,12,Marcelo Montoya,0
1,Warriors,20,Knights,12,Brayden Wiliame,0
1,Warriors,20,Knights,12,Adam Pompey,0
1,Warriors,20,Knights,12,Edward Kosi,0
1,Warriors,20,Knights,12,Te Maire Martin,0
1,Warriors,20,Knights,12,Shaun Johnson,0
1,Warriors,20,Knights,12,Addin Fonua-Blake,0
1,Warriors,20,Knights,12,Wayde Egan,1
1,Warriors,20,Knights,12,Mitchell Barnett,0
1,Warriors,20,Knights,12,Jackson Ford,0
1,Warriors,20,Knights,12,Marata Niukore,0
1,Warriors,20,Knights,12,Tohu Harris captain,0
1,Warriors,20,Knights,12,Lachlan Miller,0
1,Warriors,20,Knights,12,Hymel Hunt,1
1,Warriors,20,Knights,12,Enari Tuala,0
1,Warriors,20,Knights,12,Bradman Best,0
1,Warriors,20,Knights,12,Dominic Young,0
1,Warriors,20,Knights,12,Kalyn Ponga captain,0
1,Warriors,20,Knights,12,Jackson Hastings,0
1,Warriors,20,Knights,12,Daniel Saifiti,0
1,Warriors,20,Knights,12,Jayden Brailey,0
1,Warriors,20,Knights,12,Jacob Saifiti,0
1,Warriors,20,Knights,12,Tyson Frizell,0
1,Warriors,20,Knights,12,Lachlan Fitzgibbon,1
1,Warriors,20,Knights,12,Kurt Mann,0
