Round_Number,Home_Team,Home_Score,Away_Team,Away_Score,Player,Tries
18,Sharks,52,Dragons,16,William Kennedy,1
18,Sharks,52,Dragons,16,Sione Katoa,0
18,Sharks,52,Dragons,16,Jesse Ramien,1
18,Sharks,52,Dragons,16,Siosifa Talakai,1
18,Sharks,52,Dragons,16,Ronaldo Mulitalo,2
18,Sharks,52,Dragons,16,Matt Moylan,0
18,Sharks,52,Dragons,16,Nicholas Hynes,1
18,Sharks,52,Dragons,16,Oregon Kaufusi,0
18,Sharks,52,Dragons,16,Blayke Brailey,0
18,Sharks,52,Dragons,16,Braden Hamlin-Uele,0
18,Sharks,52,Dragons,16,Briton Nikora,2
18,Sharks,52,Dragons,16,Teig Wilton,0
18,Sharks,52,Dragons,16,Dale Finucane captain,0
18,Sharks,52,Dragons,16,Tyrell Sloan,1
18,Sharks,52,Dragons,16,Mathew Feagai,0
18,Sharks,52,Dragons,16,Tautau Moga,1
18,Sharks,52,Dragons,16,Zac Lomax,0
18,Sharks,52,Dragons,16,Mikaele Ravalawa,1
18,Sharks,52,Dragons,16,Jayden Sullivan,0
18,Sharks,52,Dragons,16,Ben Hunt captain,0
18,Sharks,52,Dragons,16,Francis Molo,0
18,Sharks,52,Dragons,16,Jacob Liddle,0
18,Sharks,52,Dragons,16,Blake Lawrie,0
18,Sharks,52,Dragons,16,Ben Murdoch-Masila,0
18,Sharks,52,Dragons,16,Jaydn Su'a,0
18,Sharks,52,Dragons,16,Jack De Belin,0
