Player,Number,Position,MinsPlayed,Points,Tries,Conversions,Conversion Attempts,PenaltyGoals,1 Point FieldGoals,2 Point FieldGoals,TotalPoints,AllRuns,All RunMetres,Kick ReturnMetres,Post ContactMetres,LineBreaks,Line BreakAssists,TryAssists,Line EngagedRuns,TackleBreaks,HitUps,Play TheBall,Average Play The BallSpeed,Dummy HalfRuns,Dummy Half RunMetres,One on OneSteal,Offloads,DummyPasses,Passes,Receipts,Passes To RunRatio,Tackle Efficiency,TacklesMade,MissedTackles,Ineffective Tackles,Intercepts,KicksDefused,Kicks,KickingMetres,Forced DropOuts,BombKicks,Grubbers,40/20,20/40,Cross FieldKicks,KickedDead,Errors,Handling Errors,One on OneLost,Penalties,Ruck Infringements,Inside 10Metres,OnReport,SinBins,SendOffs,StintOne,StintTwo
Kodi Nikorima,1,Fullback,80,0,0,0,0,0,0,0,56,18,142,29,22,1,3,1,0,2,0,0,4.16,1,0,0,0,0,34,45,1.89,90.91,10,1,0,1,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Jamayne Isaako,2,Winger,80,4,1,0,2,0,0,0,77,20,272,19,53,4,1,0,0,9,1,0,3.61,1,7,0,2,0,1,23,0.05,77.78,7,1,1,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,80,0
Euan Aitken,3,Centre,80,0,0,0,0,0,0,0,21,17,97,0,15,0,0,0,0,0,0,0,3.04,2,5,0,0,0,5,21,0.29,94.12,16,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,80,0
Brenko Lee,4,Centre,25,0,0,0,0,0,0,0,10,5,44,0,18,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,5,0.0,83.33,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,0
Tesi Niu,5,Winger,80,4,1,0,0,0,0,0,39,18,124,36,22,1,0,0,0,3,1,0,4.34,0,0,0,0,0,0,22,0.0,83.33,5,1,0,0,3,1,16,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
Anthony Milford,6,Five-Eighth,70,0,0,0,0,0,0,0,27,6,46,0,7,0,1,0,0,0,0,0,3.89,0,0,0,1,0,27,47,4.5,80.0,12,2,1,0,0,15,486,0,7,1,0,0,0,1,0,0,0,1,0,0,1,1,0,70,0
Isaiya Katoa,7,Halfback,80,0,0,0,0,0,0,0,31,5,37,0,3,0,0,0,0,0,0,0,4.24,0,0,0,0,0,34,38,6.8,96.97,32,1,0,0,0,3,74,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,80,0
Jesse Bromwich,8,Prop,46,0,0,0,0,0,0,0,30,8,63,0,21,0,0,0,0,1,8,0,3.23,0,0,0,1,0,4,11,0.5,89.66,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,22
Herman Ese'ese,10,Prop,47,0,0,0,0,0,0,0,42,11,117,26,40,0,0,0,0,2,9,0,3.74,0,0,0,0,0,2,13,0.18,100.0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22
Kenneath Bromwich,11,2nd Row,80,0,0,0,0,0,0,0,49,13,109,0,42,0,0,0,0,0,13,0,3.56,0,0,0,0,0,5,17,0.38,91.84,45,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
Connelly Lemuelu,12,2nd Row,67,0,0,0,0,0,0,0,28,11,97,0,44,0,0,0,0,0,10,0,3.18,1,3,0,1,0,3,13,0.27,88.46,23,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,42,24
Ray Stone,13,Hooker,68,0,0,0,0,0,0,0,58,7,51,0,20,0,0,0,0,0,6,0,3.51,1,0,0,0,0,10,17,1.43,98.21,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,10
Jarrod Wallace,14,Lock,66,0,0,0,0,0,0,0,58,14,112,0,43,0,0,0,0,0,10,0,4.11,2,9,0,4,0,47,59,3.36,88.57,31,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,55,10
