,Round_Number,Home_Team,Home_Score,Away_Team,Away_Score,Player,Tries,isHomePlayer,OppoentTotalTackles,OpponentTeamTackleEfficiency,OpponentTotalMissedTackles,OpponentTotalIneffectiveTakcles,Position,MinsPlayed,Points,TotalPoints,AllRuns,All RunMetres,Post ContactMetres,LineBreaks,TackleBreaks,Average Play The BallSpeed,Receipts,Home_All_Runs,Home_All_Run_Meters,Home_Post_Contact_Meters,Home_Line_Breaks,Home_Tackle_Breaks,Home_Average_Distance,Home_Kick_Return_Meters,Home_Average_Ball_Play_Speed,Away_All_Runs,Away_All_Run_Meters,Away_Post_Contact_Meters,Away_Line_Breaks,Away_Tackle_Breaks,Away_Average_Distance,Away_Kick_Return_Meters,Away_Average_Ball_Play_Speed,Home_Effective_Tackles %,Home_Tackles_Made,Home_Missed_Tackles,Home_Ineffective_Tackles,Away_Effective_Tackles %,Away_Tackles_Made,Away_Missed_Tackles,Away_Ineffective_Tackles,Home_Errors,Home_Penalties,Home_Ruck_Infrigments,Home_Inside_10M,Away_Errors,Away_Penalties,Away_Ruck_infrigments,Away_Inside_10M,Home_Offloads,Home_Receipts,Home_Total_Passes,Home_Dummy_Passes,Away_Offloads,Away_Receipts,Away_Total_Passes,Away_Dummy_Passes,Home_Possesion,Home_Time_Possesion,Home_Completion_Rate,Away_Possesion,Away_Time_Possesion,Away_Completion_Rate
0,17.0,Broncos,12.0,Titans,18.0,Reece Walsh,0.0,1.0,233.0,946.06,43.0,19.0,Fullback,80.0,0.0,7.0,17.0,168.0,26.0,0.0,1.0,4.62,35.0,192.0,"1,740",493.0,6.0,48.0,38.68,169.0,3.85,181.0,"1,776",476.0,5.0,44.0,44.41,175.0,3.34,86.61,330.0,44.0,7.0,81.41,311.0,48.0,23.0,11.0,7.0,2.0,1.0,12.0,4.0,4.0,1.0,14.0,410.0,218.0,15.0,6.0,423.0,228.0,15.0,51.0,29:26,80%,49.0,27:36,80.0
1,17.0,Broncos,12.0,Titans,18.0,Corey Oates,0.0,1.0,233.0,946.06,43.0,19.0,Winger,80.0,0.0,34.0,21.0,221.0,65.0,0.0,6.0,3.39,24.0,192.0,"1,740",493.0,6.0,48.0,38.68,169.0,3.85,181.0,"1,776",476.0,5.0,44.0,44.41,175.0,3.34,86.61,330.0,44.0,7.0,81.41,311.0,48.0,23.0,11.0,7.0,2.0,1.0,12.0,4.0,4.0,1.0,14.0,410.0,218.0,15.0,6.0,423.0,228.0,15.0,51.0,29:26,80%,49.0,27:36,80.0
2,17.0,Broncos,12.0,Titans,18.0,Kotoni Staggs,0.0,1.0,233.0,946.06,43.0,19.0,Centre,80.0,0.0,21.0,6.0,49.0,8.0,0.0,3.0,3.83,10.0,192.0,"1,740",493.0,6.0,48.0,38.68,169.0,3.85,181.0,"1,776",476.0,5.0,44.0,44.41,175.0,3.34,86.61,330.0,44.0,7.0,81.41,311.0,48.0,23.0,11.0,7.0,2.0,1.0,12.0,4.0,4.0,1.0,14.0,410.0,218.0,15.0,6.0,423.0,228.0,15.0,51.0,29:26,80%,49.0,27:36,80.0
3,17.0,Broncos,12.0,Titans,18.0,Herbie Farnworth,0.0,1.0,233.0,946.06,43.0,19.0,Centre,80.0,0.0,54.0,16.0,157.0,55.0,1.0,7.0,3.83,16.0,192.0,"1,740",493.0,6.0,48.0,38.68,169.0,3.85,181.0,"1,776",476.0,5.0,44.0,44.41,175.0,3.34,86.61,330.0,44.0,7.0,81.41,311.0,48.0,23.0,11.0,7.0,2.0,1.0,12.0,4.0,4.0,1.0,14.0,410.0,218.0,15.0,6.0,423.0,228.0,15.0,51.0,29:26,80%,49.0,27:36,80.0
4,17.0,Broncos,12.0,Titans,18.0,Selwyn Cobbo,0.0,1.0,233.0,946.06,43.0,19.0,Winger,80.0,0.0,41.0,17.0,140.0,36.0,0.0,8.0,3.89,19.0,192.0,"1,740",493.0,6.0,48.0,38.68,169.0,3.85,181.0,"1,776",476.0,5.0,44.0,44.41,175.0,3.34,86.61,330.0,44.0,7.0,81.41,311.0,48.0,23.0,11.0,7.0,2.0,1.0,12.0,4.0,4.0,1.0,14.0,410.0,218.0,15.0,6.0,423.0,228.0,15.0,51.0,29:26,80%,49.0,27:36,80.0
5,17.0,Broncos,12.0,Titans,18.0,Ezra Mam,1.0,1.0,233.0,946.06,43.0,19.0,Five-Eighth,80.0,4.0,36.0,8.0,70.0,17.0,1.0,4.0,4.72,32.0,192.0,"1,740",493.0,6.0,48.0,38.68,169.0,3.85,181.0,"1,776",476.0,5.0,44.0,44.41,175.0,3.34,86.61,330.0,44.0,7.0,81.41,311.0,48.0,23.0,11.0,7.0,2.0,1.0,12.0,4.0,4.0,1.0,14.0,410.0,218.0,15.0,6.0,423.0,228.0,15.0,51.0,29:26,80%,49.0,27:36,80.0
6,17.0,Broncos,12.0,Titans,18.0,Adam Reynolds captain,0.0,1.0,233.0,946.06,43.0,19.0,Five-Eighth,80.0,4.0,36.0,8.0,70.0,17.0,1.0,4.0,4.72,32.0,192.0,"1,740",493.0,6.0,48.0,38.68,169.0,3.85,181.0,"1,776",476.0,5.0,44.0,44.41,175.0,3.34,86.61,330.0,44.0,7.0,81.41,311.0,48.0,23.0,11.0,7.0,2.0,1.0,12.0,4.0,4.0,1.0,14.0,410.0,218.0,15.0,6.0,423.0,228.0,15.0,51.0,29:26,80%,49.0,27:36,80.0
7,17.0,Broncos,12.0,Titans,18.0,Thomas Flegler,1.0,1.0,233.0,946.06,43.0,19.0,Prop,45.0,4.0,46.0,11.0,87.0,34.0,1.0,4.0,5.02,12.0,192.0,"1,740",493.0,6.0,48.0,38.68,169.0,3.85,181.0,"1,776",476.0,5.0,44.0,44.41,175.0,3.34,86.61,330.0,44.0,7.0,81.41,311.0,48.0,23.0,11.0,7.0,2.0,1.0,12.0,4.0,4.0,1.0,14.0,410.0,218.0,15.0,6.0,423.0,228.0,15.0,51.0,29:26,80%,49.0,27:36,80.0
8,17.0,Broncos,12.0,Titans,18.0,Billy Walters,0.0,1.0,233.0,946.06,43.0,19.0,Hooker,50.0,0.0,37.0,7.0,78.0,19.0,1.0,2.0,4.4,73.0,192.0,"1,740",493.0,6.0,48.0,38.68,169.0,3.85,181.0,"1,776",476.0,5.0,44.0,44.41,175.0,3.34,86.61,330.0,44.0,7.0,81.41,311.0,48.0,23.0,11.0,7.0,2.0,1.0,12.0,4.0,4.0,1.0,14.0,410.0,218.0,15.0,6.0,423.0,228.0,15.0,51.0,29:26,80%,49.0,27:36,80.0
9,17.0,Broncos,12.0,Titans,18.0,Payne Haas,0.0,1.0,233.0,946.06,43.0,19.0,Prop,46.0,0.0,51.0,14.0,132.0,47.0,0.0,4.0,3.36,17.0,192.0,"1,740",493.0,6.0,48.0,38.68,169.0,3.85,181.0,"1,776",476.0,5.0,44.0,44.41,175.0,3.34,86.61,330.0,44.0,7.0,81.41,311.0,48.0,23.0,11.0,7.0,2.0,1.0,12.0,4.0,4.0,1.0,14.0,410.0,218.0,15.0,6.0,423.0,228.0,15.0,51.0,29:26,80%,49.0,27:36,80.0
