Round_Number,Home_Team,Home_Score,Away_Team,Away_Score,Player,Tries
1,Eels,12,Storm,16,Clinton Gutherson captain,0
1,Eels,12,Storm,16,Maika Sivo,0
1,Eels,12,Storm,16,Will Penisini,1
1,Eels,12,Storm,16,Waqa Blake,0
1,Eels,12,Storm,16,Isaac Lumelume,0
1,Eels,12,Storm,16,Dylan Brown,0
1,Eels,12,Storm,16,Mitchell Moses,0
1,Eels,12,Storm,16,Reagan Campbell-Gillard,0
1,Eels,12,Storm,16,Josh Hodgson,0
1,Eels,12,Storm,16,Junior Paulo,1
1,Eels,12,Storm,16,Bryce Cartwright,0
1,Eels,12,Storm,16,Matt Doorey,0
1,Eels,12,Storm,16,J'maine Hopgood,0
1,Eels,12,Storm,16,Nick Meaney,1
1,Eels,12,Storm,16,Will Warbrick,0
1,Eels,12,Storm,16,Reimis Smith,0
1,Eels,12,Storm,16,Young Tonumaipea,1
1,Eels,12,Storm,16,Xavier Coates,0
1,Eels,12,Storm,16,Cameron Munster,0
1,Eels,12,Storm,16,Jahrome Hughes,0
1,Eels,12,Storm,16,Nelson Asofa-Solomona,0
1,Eels,12,Storm,16,Harry Grant,1
1,Eels,12,Storm,16,Christian Welch captain,0
1,Eels,12,Storm,16,Trent Loiero,0
1,Eels,12,Storm,16,Eliesa Katoa,0
1,Eels,12,Storm,16,Josh King,0
