Player,Number,Position,MinsPlayed,Points,Tries,Conversions,Conversion Attempts,PenaltyGoals,1 Point FieldGoals,2 Point FieldGoals,TotalPoints,AllRuns,All RunMetres,Kick ReturnMetres,Post ContactMetres,LineBreaks,Line BreakAssists,TryAssists,Line EngagedRuns,TackleBreaks,HitUps,Play TheBall,Average Play The BallSpeed,Dummy HalfRuns,Dummy Half RunMetres,One on OneSteal,Offloads,DummyPasses,Passes,Receipts,Passes To RunRatio,Tackle Efficiency,TacklesMade,MissedTackles,Ineffective Tackles,Intercepts,KicksDefused,Kicks,KickingMetres,Forced DropOuts,BombKicks,Grubbers,40/20,20/40,Cross FieldKicks,KickedDead,Errors,Handling Errors,One on OneLost,Penalties,Ruck Infringements,Inside 10Metres,OnReport,SinBins,SendOffs,StintOne,StintTwo
Scott Drinkwater,1,Fullback,80,1,0,0,0,0,1,0,77,19,231,56,33,2,1,3,0,11,0,0,3.47,0,0,0,0,6,22,40,1.16,66.67,6,3,0,0,1,5,82,1,1,2,0,0,1,0,4,4,1,0,0,0,0,0,0,80,0
Kyle Feldt,2,Replacement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peta Hiku,4,Centre,80,0,0,0,0,0,0,0,44,22,195,2,61,1,0,0,0,3,0,0,3.54,0,0,0,1,1,8,25,0.36,90.91,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Semi Valemei,5,Winger,80,0,0,0,0,0,0,0,23,19,177,23,64,0,0,0,0,1,0,0,4.03,1,9,0,0,0,1,20,0.05,100.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Tom Dearden,6,Five-Eighth,80,4,1,0,0,0,0,0,57,13,98,0,14,0,1,1,0,3,0,0,4.79,0,0,0,0,5,42,52,3.23,84.85,28,2,3,0,1,3,82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Chad Townsend,7,Halfback,80,0,0,0,0,0,0,0,29,7,58,0,12,0,0,0,0,0,0,0,3.1,1,7,0,0,8,47,70,6.71,83.33,10,2,0,0,0,19,611,0,6,1,0,0,2,0,1,1,0,0,0,0,0,0,0,80,0
Jordan McLean,8,Prop,38,0,0,0,0,0,0,0,26,10,107,0,46,0,0,0,0,0,9,0,3.33,0,0,0,0,1,4,14,0.4,95.24,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,18
Jake Granville,9,Lock,41,0,0,0,0,0,0,0,23,6,52,0,15,0,0,0,0,0,3,0,4.22,2,24,0,0,1,21,26,3.5,91.67,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,12
Coen Hess,10,Prop,40,0,0,0,0,0,0,0,26,7,83,29,35,0,0,0,0,1,5,0,3.53,0,0,0,0,0,1,8,0.14,85.71,18,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18
Luciano Leilua,11,2nd Row,68,0,0,0,0,0,0,0,55,16,173,0,86,0,0,0,0,2,16,0,3.45,0,0,0,1,0,3,18,0.19,94.12,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0
Kulikefu Finefeuiaki,12,Interchange,12,4,1,0,0,0,0,0,23,4,59,0,14,1,0,0,0,3,4,0,3.68,0,0,0,0,0,0,4,0.0,66.67,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
Griffin Neame,15,Interchange,42,0,0,0,0,0,0,0,24,9,102,0,45,0,0,0,0,1,9,0,3.81,0,0,0,0,0,5,14,0.56,86.96,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,42,0
Jamayne Taunoa-Brown,16,Interchange,34,0,0,0,0,0,0,0,26,9,96,39,27,0,0,0,0,0,6,0,4.19,0,0,0,0,0,2,11,0.22,100.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5
