Player,Number,Position,MinsPlayed,Points,Tries,Conversions,Conversion Attempts,PenaltyGoals,1 Point FieldGoals,2 Point FieldGoals,TotalPoints,AllRuns,All RunMetres,Kick ReturnMetres,Post ContactMetres,LineBreaks,Line BreakAssists,TryAssists,Line EngagedRuns,TackleBreaks,HitUps,Play TheBall,Average Play The BallSpeed,Dummy HalfRuns,Dummy Half RunMetres,One on OneSteal,Offloads,DummyPasses,Passes,Receipts,Passes To RunRatio,Tackle Efficiency,TacklesMade,MissedTackles,Ineffective Tackles,Intercepts,KicksDefused,Kicks,KickingMetres,Forced DropOuts,BombKicks,Grubbers,40/20,20/40,Cross FieldKicks,KickedDead,Errors,Handling Errors,One on OneLost,Penalties,Ruck Infringements,Inside 10Metres,OnReport,SinBins,SendOffs,StintOne,StintTwo
James Tedesco,1,Fullback,80,0,0,0,0,0,0,0,15,12,104,2,28,0,1,0,0,1,0,0,3.44,0,0,0,2,2,13,25,1.08,16.67,1,2,3,0,0,1,5,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
Corey Allan,2,Winger,80,4,1,0,0,0,0,0,40,16,132,24,4,2,0,0,0,3,0,0,3.66,0,0,0,0,0,6,22,0.38,100.0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,80,0
Joseph-Aukuso Suaalii,3,Centre,80,0,0,0,1,0,0,0,18,9,74,0,18,0,0,0,0,2,1,0,3.42,0,0,0,1,0,5,15,0.56,75.0,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Billy Smith,4,Centre,80,0,0,0,0,0,0,0,60,15,118,0,28,1,2,1,0,7,2,0,3.25,0,0,0,3,0,7,24,0.47,95.65,22,1,0,0,2,0,0,0,0,0,0,0,0,0,4,5,0,1,0,0,0,0,0,80,0
Jaxson Paulo,5,Winger,80,0,0,0,0,0,0,0,14,13,121,34,16,1,0,0,0,1,0,0,3.53,0,0,0,0,0,4,19,0.31,0.0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,80,0
Joseph Manu,6,Five-Eighth,55,0,0,0,0,0,0,0,27,8,70,6,18,0,0,0,0,3,0,0,4.34,0,0,0,0,1,13,23,1.63,75.0,18,3,3,0,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0
Luke Keary,7,Halfback,80,0,0,0,0,0,0,0,40,5,32,0,0,0,1,0,0,0,0,0,4.56,0,0,0,0,0,43,57,8.6,90.91,20,0,2,0,0,13,461,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Jared Waerea-Hargreaves,8,Prop,16,0,0,0,0,0,0,0,7,4,34,8,9,0,0,0,0,1,3,0,3.14,0,0,0,0,0,0,5,0.0,85.71,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,16,0
Brandon Smith,9,Interchange,54,0,0,0,0,0,0,0,40,7,44,0,10,0,0,0,0,0,3,0,3.36,4,26,0,1,1,33,41,4.71,83.33,35,4,3,0,0,2,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0
Lindsay Collins,10,Prop,54,0,0,0,0,0,0,0,43,7,46,0,14,0,0,0,0,0,6,0,3.45,0,0,0,0,0,2,11,0.29,90.91,40,3,1,0,1,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,25
Angus Crichton,11,2nd Row,68,0,0,0,0,0,0,0,53,11,56,0,20,0,0,0,0,1,11,0,3.46,0,0,0,1,0,2,14,0.18,86.27,44,4,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,54,13
Nat Butcher,12,2nd Row,80,0,0,0,0,0,0,0,57,7,61,3,24,0,0,0,0,1,6,0,2.5,0,0,0,0,0,3,10,0.43,92.31,60,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,80,0
Victor Radley,13,Lock,80,0,0,0,0,0,0,0,55,9,65,0,14,0,0,0,0,0,5,0,3.26,0,0,0,0,1,27,33,3.0,94.83,55,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,54,25
