Round_Number,Home_Team,Home_Score,Away_Team,Away_Score,Player,Tries
11,Storm,24,Broncos,16,Nick Meaney,0
11,Storm,24,Broncos,16,Will Warbrick,2
11,Storm,24,Broncos,16,Reimis Smith,0
11,Storm,24,Broncos,16,Justin Olam,1
11,Storm,24,Broncos,16,Xavier Coates,0
11,Storm,24,Broncos,16,Cameron Munster,1
11,Storm,24,Broncos,16,Jahrome Hughes,0
11,Storm,24,Broncos,16,Christian Welch captain,0
11,Storm,24,Broncos,16,Harry Grant,0
11,Storm,24,Broncos,16,Tui Kamikamica,0
11,Storm,24,Broncos,16,Trent Loiero,0
11,Storm,24,Broncos,16,Eliesa Katoa,0
11,Storm,24,Broncos,16,Josh King,0
11,Storm,24,Broncos,16,Reece Walsh,0
11,Storm,24,Broncos,16,Jesse Arthars,1
11,Storm,24,Broncos,16,Kotoni Staggs,0
11,Storm,24,Broncos,16,Herbie Farnworth,1
11,Storm,24,Broncos,16,Selwyn Cobbo,0
11,Storm,24,Broncos,16,Ezra Mam,0
11,Storm,24,Broncos,16,Adam Reynolds captain,0
11,Storm,24,Broncos,16,Thomas Flegler,0
11,Storm,24,Broncos,16,Billy Walters,0
11,Storm,24,Broncos,16,Payne Haas,0
11,Storm,24,Broncos,16,Kurt Capewell,0
11,Storm,24,Broncos,16,Jordan Riki,0
11,Storm,24,Broncos,16,Patrick Carrigan,0
