Round_Number,Home_Team,Home_Score,Away_Team,Away_Score,Player,Tries
11,Cowboys,42,Dragons,22,Scott Drinkwater,0
11,Cowboys,42,Dragons,22,Kyle Feldt,2
11,Cowboys,42,Dragons,22,Valentine Holmes,0
11,Cowboys,42,Dragons,22,Peta Hiku,0
11,Cowboys,42,Dragons,22,Murray Taulagi,0
11,Cowboys,42,Dragons,22,Tom Dearden,2
11,Cowboys,42,Dragons,22,Chad Townsend captain,0
11,Cowboys,42,Dragons,22,Jordan McLean,0
11,Cowboys,42,Dragons,22,Reece Robson,0
11,Cowboys,42,Dragons,22,Coen Hess,0
11,Cowboys,42,Dragons,22,Heilum Luki,2
11,Cowboys,42,Dragons,22,Jack Gosiewski,1
11,Cowboys,42,Dragons,22,Reuben Cotter,0
11,Cowboys,42,Dragons,22,Tyrell Sloan,0
11,Cowboys,42,Dragons,22,Mathew Feagai,0
11,Cowboys,42,Dragons,22,Mosese Suli,1
11,Cowboys,42,Dragons,22,Max Feagai,0
11,Cowboys,42,Dragons,22,Mikaele Ravalawa,1
11,Cowboys,42,Dragons,22,Talatau Amone,0
11,Cowboys,42,Dragons,22,Jayden Sullivan,0
11,Cowboys,42,Dragons,22,Jack De Belin,1
11,Cowboys,42,Dragons,22,Ben Hunt captain,0
11,Cowboys,42,Dragons,22,Blake Lawrie,0
11,Cowboys,42,Dragons,22,Jaydn Su'a,1
11,Cowboys,42,Dragons,22,Jack Bird,0
11,Cowboys,42,Dragons,22,Michael Molo,0
