Player,Number,Position,MinsPlayed,Points,Tries,Conversions,Conversion Attempts,PenaltyGoals,Goal ConversionRate,1 Point FieldGoals,2 Point FieldGoals,TotalPoints,AllRuns,All RunMetres,Kick ReturnMetres,Post ContactMetres,LineBreaks,Line BreakAssists,TryAssists,Line EngagedRuns,TackleBreaks,HitUps,Play TheBall,Average Play The BallSpeed,Dummy HalfRuns,Dummy Half RunMetres,One on OneSteal,Offloads,DummyPasses,Passes,Receipts,Passes To RunRatio,Tackle Efficiency,TacklesMade,MissedTackles,Ineffective Tackles,Intercepts,KicksDefused,Kicks,KickingMetres,Forced DropOuts,BombKicks,Grubbers,40/20,20/40,Cross FieldKicks,KickedDead,Errors,Handling Errors,One on OneLost,Penalties,Ruck Infringements,Inside 10Metres,OnReport,SinBins,SendOffs,StintOne,StintTwo
Lachlan Miller,1,Fullback,80,0,0,0,0,0,0.0,0,0,32,20,161,52,39,0,0,0,0,9,2,0,3.53,0,0,0,0,0,18,36,0.9,75.0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,80,0
Hymel Hunt,2,Winger,80,0,0,0,0,0,0.0,0,0,11,14,102,0,25,0,0,0,0,1,0,0,3.1,0,0,0,0,0,0,14,0.0,75.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,80,0
Dane Gagai,3,Centre,80,0,0,0,0,0,0.0,0,0,53,16,173,0,57,0,2,2,0,5,0,0,3.15,4,46,0,0,0,4,22,0.25,100.0,14,0,0,0,0,1,26,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,80,0
Bradman Best,4,Centre,80,0,0,0,0,0,0.0,0,0,25,11,115,0,31,0,0,0,0,0,0,0,3.8,0,0,0,0,0,1,11,0.09,80.0,20,3,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Dominic Young,5,Winger,70,8,2,0,0,0,0.0,0,0,56,16,177,29,38,2,0,0,0,9,0,0,3.51,0,0,0,0,0,3,21,0.19,100.0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,70,0
Kalyn Ponga,6,Five-Eighth,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0.0,50.0,1,1,0,0,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Jackson Hastings,7,Halfback,80,2,0,1,3,0,33.33,0,0,32,8,61,0,3,0,0,0,0,0,0,0,5.36,1,11,0,0,0,57,70,7.13,86.36,19,3,0,0,0,10,336,1,2,1,0,0,1,0,1,1,0,0,0,0,1,0,0,80,0
Daniel Saifiti,8,Prop,60,0,0,0,0,0,0.0,0,0,40,16,157,25,63,0,0,0,0,0,14,0,3.9,0,0,0,0,0,0,16,0.0,86.11,31,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,8
Jayden Brailey,9,Hooker,14,0,0,0,0,0,0.0,0,0,5,2,17,0,3,0,0,0,0,0,0,0,4.16,2,17,0,0,0,19,20,9.5,88.89,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,14,0
Jacob Saifiti,10,Interchange,41,0,0,0,0,0,0.0,0,0,17,9,83,0,30,0,0,0,0,0,9,0,4.09,0,0,0,0,0,1,10,0.11,87.5,21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,41,0
Tyson Frizell,11,2nd Row,49,0,0,0,0,0,0.0,0,0,53,8,77,0,28,0,0,0,0,1,8,0,3.76,0,0,0,2,0,1,9,0.13,96.15,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0
Lachlan Fitzgibbon,12,2nd Row,80,4,1,0,0,0,0.0,0,0,46,9,80,0,23,1,0,0,0,2,9,0,4.86,0,0,0,0,0,0,10,0.0,83.72,36,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,80,0
Phoenix Crossland,14,Interchange,66,0,0,0,0,0,0.0,0,0,44,5,43,0,8,0,0,0,0,0,0,0,4.12,5,43,0,1,0,79,82,15.8,87.5,42,2,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,66,0
