Player,Number,Position,MinsPlayed,Points,Tries,Conversions,Conversion Attempts,PenaltyGoals,Goal ConversionRate,1 Point FieldGoals,2 Point FieldGoals,TotalPoints,AllRuns,All RunMetres,Kick ReturnMetres,Post ContactMetres,LineBreaks,Line BreakAssists,TryAssists,Line EngagedRuns,TackleBreaks,HitUps,Play TheBall,Average Play The BallSpeed,Dummy HalfRuns,Dummy Half RunMetres,One on OneSteal,Offloads,DummyPasses,Passes,Receipts,Passes To RunRatio,Tackle Efficiency,TacklesMade,MissedTackles,Ineffective Tackles,Intercepts,KicksDefused,Kicks,KickingMetres,Forced DropOuts,BombKicks,Grubbers,40/20,20/40,Cross FieldKicks,KickedDead,Errors,Handling Errors,One on OneLost,Penalties,Ruck Infringements,Inside 10Metres,OnReport,SinBins,SendOffs,StintOne,StintTwo
Tyrell Sloan,1,Fullback,80,0,0,0,1,0,0.0,0,0,27,10,79,10,11,0,0,0,0,1,0,0,3.1,0,0,0,2,0,13,23,1.3,62.5,5,2,1,0,2,1,25,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
Mathew Feagai,2,Winger,80,0,0,0,0,0,0.0,0,0,20,14,115,24,23,0,0,0,0,1,0,0,3.26,2,18,0,0,0,6,20,0.43,77.78,7,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
Mosese Suli,3,Centre,80,4,1,0,0,0,0.0,0,0,38,14,150,0,27,1,0,0,0,6,0,0,3.48,0,0,0,0,0,4,19,0.29,81.82,9,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,80,0
Max Feagai,4,Centre,80,0,0,0,0,0,0.0,0,0,11,9,76,0,25,0,0,0,0,1,0,0,3.56,0,0,0,0,0,4,13,0.44,82.35,14,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,80,0
Mikaele Ravalawa,5,Winger,80,4,1,0,0,0,0.0,0,0,30,12,212,26,22,1,0,0,0,2,0,0,4.16,0,0,0,0,0,0,13,0.0,14.29,1,5,1,0,2,1,11,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,80,0
Talatau Amone,6,Five-Eighth,80,0,0,0,0,0,0.0,0,0,26,6,48,0,4,0,0,0,0,0,0,0,2.34,0,0,0,0,1,34,39,5.67,86.21,25,2,2,0,0,3,54,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,80,0
Ben Hunt,7,Hooker,80,0,0,0,0,0,0.0,0,0,58,15,82,0,0,0,3,3,0,1,0,0,3.96,1,3,0,1,8,63,73,4.2,78.26,18,3,2,0,0,7,220,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,80,0
Jack De Belin,8,Prop,71,4,1,0,0,0,0.0,0,0,69,19,140,0,25,1,0,0,0,2,10,0,3.19,0,0,0,0,0,12,22,0.63,95.12,39,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,20
Moses Mbye,9,Interchange,51,2,0,1,1,0,100.0,0,0,39,3,36,0,15,0,0,0,0,0,1,0,3.56,2,36,1,0,4,83,86,27.67,100.0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0
Blake Lawrie,10,Prop,46,0,0,0,0,0,0.0,0,0,33,14,139,48,25,0,0,0,0,0,10,0,3.8,0,0,0,0,0,4,17,0.29,85.71,24,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,19
Billy Burns,11,Replacement,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaydn Su'a,12,2nd Row,80,4,1,0,0,0,0.0,0,0,53,13,139,0,50,0,0,0,0,3,13,0,3.5,0,0,0,0,0,0,14,0.0,90.0,27,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,80,0
Jack Bird,13,2nd Row,80,2,0,1,1,0,100.0,0,0,65,16,150,0,42,0,0,0,0,9,13,0,3.36,1,10,0,0,1,5,23,0.31,93.94,31,0,2,0,1,1,19,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,80,0
