Player,Number,Position,MinsPlayed,Points,Tries,Conversions,Conversion Attempts,PenaltyGoals,Goal ConversionRate,1 Point FieldGoals,2 Point FieldGoals,TotalPoints,AllRuns,All RunMetres,Kick ReturnMetres,Post ContactMetres,LineBreaks,Line BreakAssists,TryAssists,Line EngagedRuns,TackleBreaks,HitUps,Play TheBall,Average Play The BallSpeed,Dummy HalfRuns,Dummy Half RunMetres,One on OneSteal,Offloads,DummyPasses,Passes,Receipts,Passes To RunRatio,Tackle Efficiency,TacklesMade,MissedTackles,Ineffective Tackles,Intercepts,KicksDefused,Kicks,KickingMetres,Forced DropOuts,BombKicks,Grubbers,40/20,20/40,Cross FieldKicks,KickedDead,Errors,Handling Errors,One on OneLost,Penalties,Ruck Infringements,Inside 10Metres,OnReport,SinBins,SendOffs,StintOne,StintTwo
Latrell Mitchell,1,Fullback,80,8,0,4,5,0,66.67,0,0,33,6,86,9,14,0,1,2,0,1,0,0,3.99,0,0,0,0,4,19,30,3.17,75.0,3,1,0,0,3,5,117,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,80,0
Alex Johnston,2,Winger,80,8,2,0,0,0,0.0,0,0,40,10,87,20,13,3,0,0,0,2,1,0,4.12,0,0,0,0,0,3,16,0.3,66.67,2,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
Isaiah Tass,3,Centre,80,4,1,0,0,0,0.0,0,0,38,13,92,0,38,0,2,1,0,1,0,0,4.65,1,3,0,0,2,10,19,0.77,83.33,15,2,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,80,0
Campbell Graham,4,Centre,80,0,0,0,0,0,0.0,0,0,19,12,109,0,30,1,0,0,0,0,0,0,4.03,1,8,0,1,0,1,13,0.08,72.73,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80,0
Taane Milne,5,Winger,80,0,0,0,0,0,0.0,0,0,24,16,140,19,40,0,0,0,0,2,0,0,3.31,0,0,0,0,0,0,17,0.0,80.0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
Cody Walker,6,Five-Eighth,80,4,1,0,0,0,0.0,0,0,42,10,67,0,5,0,2,2,0,2,0,0,4.47,0,0,0,1,1,35,45,3.5,70.59,12,4,1,0,0,3,71,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
Lachlan Ilias,7,Halfback,80,0,0,0,0,0,0.0,0,0,32,7,51,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,24,35,3.43,90.91,20,2,0,0,0,11,370,1,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,80,0
Tevita Tatola,8,Prop,33,0,0,0,0,0,0.0,0,0,30,9,82,8,23,0,0,0,0,0,8,0,2.65,0,0,0,0,0,0,9,0.0,91.67,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17
Damien Cook,9,Hooker,80,0,0,0,0,0,0.0,0,0,41,8,89,0,20,0,0,0,0,2,1,0,4.1,7,78,0,1,2,114,121,14.25,92.11,35,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,80,0
Hame Sele,10,Prop,42,0,0,0,0,0,0.0,0,0,31,9,88,13,31,0,0,0,0,1,8,0,3.65,0,0,0,0,0,0,10,0.0,87.5,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,24
Michael Chee Kam,11,2nd Row,56,0,0,0,0,0,0.0,0,0,28,11,87,0,32,0,0,0,0,0,10,0,3.6,0,0,0,0,0,1,12,0.09,86.96,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0
Jacob Host,12,2nd Row,69,4,1,0,0,0,0.0,0,0,40,12,116,0,37,1,0,0,0,4,12,0,4.06,0,0,0,0,0,2,14,0.17,86.36,19,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,68,0
Cameron Murray,13,Lock,53,0,0,0,0,0,0.0,0,0,29,13,115,0,24,0,0,0,0,1,10,0,3.53,0,0,0,0,0,8,18,0.62,87.5,28,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,33,27
