Player,Number,Position,MinsPlayed,Points,Tries,Conversions,Conversion Attempts,PenaltyGoals,Goal ConversionRate,1 Point FieldGoals,2 Point FieldGoals,TotalPoints,AllRuns,All RunMetres,Kick ReturnMetres,Post ContactMetres,LineBreaks,Line BreakAssists,TryAssists,Line EngagedRuns,TackleBreaks,HitUps,Play TheBall,Average Play The BallSpeed,Dummy HalfRuns,Dummy Half RunMetres,One on OneSteal,Offloads,DummyPasses,Passes,Receipts,Passes To RunRatio,Tackle Efficiency,TacklesMade,MissedTackles,Ineffective Tackles,Intercepts,KicksDefused,Kicks,KickingMetres,Forced DropOuts,BombKicks,Grubbers,40/20,20/40,Cross FieldKicks,KickedDead,Errors,Handling Errors,One on OneLost,Penalties,Ruck Infringements,Inside 10Metres,OnReport,SinBins,SendOffs,StintOne,StintTwo
Tom Trbojevic,1,Fullback,77,4,1,0,0,0,0.0,0,0,40,15,173,15,55,2,2,1,0,5,2,0,3.64,0,0,0,0,2,23,39,1.53,20.0,1,4,0,0,2,1,4,0,0,1,0,0,0,0,3,3,0,0,1,0,0,0,0,63,13
Christian Tuipulotu,2,Winger,80,0,0,0,0,0,0.0,0,0,24,11,91,8,37,1,0,0,0,0,0,0,4.26,0,0,0,1,0,2,14,0.18,83.33,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
Brad Parker,3,Centre,80,0,0,0,0,0,0.0,0,0,36,7,73,7,34,0,0,0,0,1,0,0,3.95,0,0,0,0,0,9,12,1.29,95.83,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Tolutau Koula,4,Centre,80,0,0,0,0,0,0.0,0,0,36,12,126,0,41,0,0,0,0,1,0,0,3.38,0,0,0,1,0,3,14,0.25,85.71,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Reuben Garrick,5,Winger,80,14,1,5,5,0,83.33,0,0,59,21,194,15,46,3,0,0,0,2,2,0,3.57,1,8,0,1,1,2,22,0.1,100.0,2,0,0,0,0,3,47,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,80,0
Cooper Johns,6,Five-Eighth,80,0,0,0,0,0,0.0,0,0,15,3,18,0,2,0,1,0,0,0,0,0,2.64,0,0,0,0,0,36,42,12.0,85.0,17,2,1,0,0,4,94,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,80,0
Daly Cherry-Evans,7,Halfback,80,13,3,0,0,0,0.0,1,0,93,7,123,0,0,0,1,1,0,3,0,0,0.0,0,0,0,1,1,49,68,7.0,95.45,21,1,0,1,0,15,308,2,3,6,0,0,1,0,1,1,0,0,0,0,0,0,0,80,0
Taniela Paseka,8,Prop,41,0,0,0,0,0,0.0,0,0,41,18,183,26,68,0,1,0,0,5,16,0,3.48,0,0,0,1,0,0,18,0.0,89.47,17,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,20,20
Lachlan Croker,9,Hooker,66,0,0,0,0,0,0.0,0,0,43,4,35,0,16,0,0,0,0,1,1,0,4.28,3,26,0,1,1,97,102,24.25,92.11,35,2,1,0,0,1,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,66,0
Jake Trbojevic,10,Prop,80,0,0,0,0,0,0.0,0,0,52,11,121,17,45,0,0,0,0,0,10,0,3.19,0,0,0,0,0,4,15,0.36,89.19,33,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80,0
Haumole Olakau'atu,11,2nd Row,80,0,0,0,0,0,0.0,0,0,43,13,125,0,57,0,0,0,0,3,12,0,4.54,0,0,0,0,0,2,16,0.15,95.45,21,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80,0
Kelma Tuilagi,12,2nd Row,62,0,0,0,0,0,0.0,0,0,26,8,71,0,27,0,1,1,0,2,8,0,3.69,0,0,0,0,0,1,10,0.13,71.43,20,5,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,61,0
Sean Keppie,13,Interchange,39,0,0,0,0,0,0.0,0,0,40,14,141,14,71,0,0,0,0,2,13,0,3.21,0,0,0,0,0,1,15,0.07,95.65,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,39,0
