Player,Number,Position,MinsPlayed,Points,Tries,Conversions,Conversion Attempts,PenaltyGoals,Goal ConversionRate,1 Point FieldGoals,2 Point FieldGoals,TotalPoints,AllRuns,All RunMetres,Kick ReturnMetres,Post ContactMetres,LineBreaks,Line BreakAssists,TryAssists,Line EngagedRuns,TackleBreaks,HitUps,Play TheBall,Average Play The BallSpeed,Dummy HalfRuns,Dummy Half RunMetres,One on OneSteal,Offloads,DummyPasses,Passes,Receipts,Passes To RunRatio,Tackle Efficiency,TacklesMade,MissedTackles,Ineffective Tackles,Intercepts,KicksDefused,Kicks,KickingMetres,Forced DropOuts,BombKicks,Grubbers,40/20,20/40,Cross FieldKicks,KickedDead,Errors,Handling Errors,One on OneLost,Penalties,Ruck Infringements,Inside 10Metres,OnReport,SinBins,SendOffs,StintOne,StintTwo
Hayze Perham,1,Fullback,80,0,0,0,0,0,0.0,0,0,26,16,165,79,61,0,0,0,0,2,0,0,3.89,0,0,0,0,1,12,30,0.75,100.0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Jacob Kiraz,2,Winger,69,0,0,0,0,0,0.0,0,0,48,16,155,12,70,0,0,0,0,5,3,0,3.88,1,7,0,5,1,3,20,0.19,100.0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,39
Jake Averillo,3,Centre,80,0,0,0,0,0,0.0,0,0,16,8,88,0,24,1,0,0,0,2,0,0,3.27,1,10,0,0,5,6,13,0.75,54.55,6,5,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Paul Alamoti,4,Centre,80,0,0,0,0,0,0.0,0,0,17,11,96,0,38,0,0,0,0,0,1,0,3.89,0,0,0,0,0,6,14,0.55,92.31,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
Josh Addo-Carr,5,Winger,80,0,0,0,0,0,0.0,0,0,24,9,80,16,28,0,0,0,0,5,1,0,3.44,2,16,0,0,0,6,16,0.67,80.0,8,0,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,80,0
Matt Burton,6,Five-Eighth,80,2,0,1,1,0,100.0,0,0,16,10,46,0,10,0,0,0,0,1,0,0,3.82,0,0,0,0,1,26,43,2.6,70.83,17,6,1,0,0,10,260,1,2,0,0,0,1,0,4,2,0,2,0,0,0,0,0,80,0
Kyle Flanagan,7,Halfback,70,0,0,0,0,0,0.0,0,0,26,5,37,0,14,0,0,0,0,0,0,0,3.86,1,15,0,1,3,36,42,7.2,95.24,20,1,0,0,0,3,104,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,70,0
Max King,8,Prop,62,0,0,0,0,0,0.0,0,0,48,14,131,12,49,0,0,0,0,1,13,0,3.66,0,0,0,0,1,0,15,0.0,97.22,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,15
Reed Mahoney,9,Hooker,80,4,1,0,0,0,0.0,0,0,71,8,58,0,3,0,1,0,0,1,1,0,5.54,6,44,0,1,7,88,98,11.0,91.07,51,2,3,0,2,6,93,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,80,0
Ryan Sutton,10,Prop,57,0,0,0,0,0,0.0,0,0,47,11,91,13,24,0,0,0,0,0,10,0,3.85,0,0,0,0,0,2,13,0.18,96.0,48,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,23,33
Viliame Kikau,11,2nd Row,72,0,0,0,0,0,0.0,0,0,22,10,99,10,35,0,0,0,0,0,9,0,4.56,0,0,0,1,1,3,15,0.3,82.76,24,5,0,0,1,1,26,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,53,18
Raymond Faitala-Mariner,12,2nd Row,62,0,0,0,0,0,0.0,0,0,35,11,106,9,38,0,0,0,0,0,10,0,3.4,0,0,0,0,0,0,11,0.0,100.0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,61,0
Fa'amanu Brown,13,Lock,54,0,0,0,0,0,0.0,0,0,35,10,51,0,19,0,0,0,0,1,8,0,4.71,0,0,0,0,1,9,18,0.9,94.87,37,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,27,26
