,Round_Number,Home_Team,Home_Score,Away_Team,Away_Score,Player,Tries,isHomePlayer,OppoentTotalTackles,OpponentTeamTackleEfficiency,OpponentTotalMissedTackles,OpponentTotalIneffectiveTakcles,Position,MinsPlayed,Points,TotalPoints,AllRuns,All RunMetres,Post ContactMetres,LineBreaks,TackleBreaks,Average Play The BallSpeed,Receipts,Home_All_Runs,Home_All_Run_Meters,Home_Post_Contact_Meters,Home_Line_Breaks,Home_Tackle_Breaks,Home_Average_Distance,Home_Kick_Return_Meters,Home_Average_Ball_Play_Speed,Away_All_Runs,Away_All_Run_Meters,Away_Post_Contact_Meters,Away_Line_Breaks,Away_Tackle_Breaks,Away_Average_Distance,Away_Kick_Return_Meters,Away_Average_Ball_Play_Speed,Home_Effective_Tackles %,Home_Tackles_Made,Home_Missed_Tackles,Home_Ineffective_Tackles,Away_Effective_Tackles %,Away_Tackles_Made,Away_Missed_Tackles,Away_Ineffective_Tackles,Home_Errors,Home_Penalties,Home_Ruck_Infrigments,Home_Inside_10M,Away_Errors,Away_Penalties,Away_Ruck_infrigments,Away_Inside_10M,Home_Offloads,Home_Receipts,Home_Total_Passes,Home_Dummy_Passes,Away_Offloads,Away_Receipts,Away_Total_Passes,Away_Dummy_Passes,Home_Possesion,Home_Time_Possesion,Home_Completion_Rate,Away_Possesion,Away_Time_Possesion,Away_Completion_Rate
0,15.0,Broncos,24.0,Knights,20.0,Reece Walsh,0.0,1.0,251.0,1003.77,43.0,21.0,Fullback,80.0,0.0,71.0,22.0,215.0,38.0,2.0,13.0,4.26,39.0,181.0,"1,812",428.0,10.0,59.0,44.21,183.0,3.34,191.0,"1,975",412.0,6.0,42.0,48.19,215.0,3.28,86.28,346.0,43.0,12.0,80.09,338.0,59.0,25.0,10.0,6.0,1.0,0.0,8.0,3.0,2.0,1.0,17.0,398.0,205.0,21.0,8.0,454.0,261.0,7.0,52.0,29:30,78%,48.0,27:14,80.0
1,15.0,Broncos,24.0,Knights,20.0,Corey Oates,0.0,1.0,251.0,1003.77,43.0,21.0,Winger,80.0,0.0,44.0,16.0,183.0,41.0,2.0,8.0,2.59,23.0,181.0,"1,812",428.0,10.0,59.0,44.21,183.0,3.34,191.0,"1,975",412.0,6.0,42.0,48.19,215.0,3.28,86.28,346.0,43.0,12.0,80.09,338.0,59.0,25.0,10.0,6.0,1.0,0.0,8.0,3.0,2.0,1.0,17.0,398.0,205.0,21.0,8.0,454.0,261.0,7.0,52.0,29:30,78%,48.0,27:14,80.0
2,15.0,Broncos,24.0,Knights,20.0,Kotoni Staggs,0.0,1.0,251.0,1003.77,43.0,21.0,Centre,80.0,0.0,29.0,9.0,84.0,28.0,1.0,4.0,3.62,8.0,181.0,"1,812",428.0,10.0,59.0,44.21,183.0,3.34,191.0,"1,975",412.0,6.0,42.0,48.19,215.0,3.28,86.28,346.0,43.0,12.0,80.09,338.0,59.0,25.0,10.0,6.0,1.0,0.0,8.0,3.0,2.0,1.0,17.0,398.0,205.0,21.0,8.0,454.0,261.0,7.0,52.0,29:30,78%,48.0,27:14,80.0
3,15.0,Broncos,24.0,Knights,20.0,Herbie Farnworth,0.0,1.0,251.0,1003.77,43.0,21.0,Centre,80.0,0.0,61.0,19.0,182.0,51.0,0.0,7.0,3.77,19.0,181.0,"1,812",428.0,10.0,59.0,44.21,183.0,3.34,191.0,"1,975",412.0,6.0,42.0,48.19,215.0,3.28,86.28,346.0,43.0,12.0,80.09,338.0,59.0,25.0,10.0,6.0,1.0,0.0,8.0,3.0,2.0,1.0,17.0,398.0,205.0,21.0,8.0,454.0,261.0,7.0,52.0,29:30,78%,48.0,27:14,80.0
4,15.0,Broncos,24.0,Knights,20.0,Selwyn Cobbo,2.0,1.0,251.0,1003.77,43.0,21.0,Winger,80.0,8.0,50.0,15.0,124.0,28.0,1.0,4.0,3.56,21.0,181.0,"1,812",428.0,10.0,59.0,44.21,183.0,3.34,191.0,"1,975",412.0,6.0,42.0,48.19,215.0,3.28,86.28,346.0,43.0,12.0,80.09,338.0,59.0,25.0,10.0,6.0,1.0,0.0,8.0,3.0,2.0,1.0,17.0,398.0,205.0,21.0,8.0,454.0,261.0,7.0,52.0,29:30,78%,48.0,27:14,80.0
5,15.0,Broncos,24.0,Knights,20.0,Ezra Mam,0.0,1.0,251.0,1003.77,43.0,21.0,Five-Eighth,80.0,0.0,26.0,10.0,102.0,10.0,1.0,1.0,3.26,27.0,181.0,"1,812",428.0,10.0,59.0,44.21,183.0,3.34,191.0,"1,975",412.0,6.0,42.0,48.19,215.0,3.28,86.28,346.0,43.0,12.0,80.09,338.0,59.0,25.0,10.0,6.0,1.0,0.0,8.0,3.0,2.0,1.0,17.0,398.0,205.0,21.0,8.0,454.0,261.0,7.0,52.0,29:30,78%,48.0,27:14,80.0
6,15.0,Broncos,24.0,Knights,20.0,Adam Reynolds captain,0.0,1.0,251.0,1003.77,43.0,21.0,Five-Eighth,80.0,0.0,26.0,10.0,102.0,10.0,1.0,1.0,3.26,27.0,181.0,"1,812",428.0,10.0,59.0,44.21,183.0,3.34,191.0,"1,975",412.0,6.0,42.0,48.19,215.0,3.28,86.28,346.0,43.0,12.0,80.09,338.0,59.0,25.0,10.0,6.0,1.0,0.0,8.0,3.0,2.0,1.0,17.0,398.0,205.0,21.0,8.0,454.0,261.0,7.0,52.0,29:30,78%,48.0,27:14,80.0
7,15.0,Broncos,24.0,Knights,20.0,Thomas Flegler,0.0,1.0,251.0,1003.77,43.0,21.0,Prop,51.0,0.0,42.0,12.0,118.0,25.0,0.0,1.0,4.0,12.0,181.0,"1,812",428.0,10.0,59.0,44.21,183.0,3.34,191.0,"1,975",412.0,6.0,42.0,48.19,215.0,3.28,86.28,346.0,43.0,12.0,80.09,338.0,59.0,25.0,10.0,6.0,1.0,0.0,8.0,3.0,2.0,1.0,17.0,398.0,205.0,21.0,8.0,454.0,261.0,7.0,52.0,29:30,78%,48.0,27:14,80.0
8,15.0,Broncos,24.0,Knights,20.0,Billy Walters,0.0,1.0,251.0,1003.77,43.0,21.0,Hooker,60.0,0.0,39.0,6.0,54.0,8.0,0.0,1.0,2.12,75.0,181.0,"1,812",428.0,10.0,59.0,44.21,183.0,3.34,191.0,"1,975",412.0,6.0,42.0,48.19,215.0,3.28,86.28,346.0,43.0,12.0,80.09,338.0,59.0,25.0,10.0,6.0,1.0,0.0,8.0,3.0,2.0,1.0,17.0,398.0,205.0,21.0,8.0,454.0,261.0,7.0,52.0,29:30,78%,48.0,27:14,80.0
9,15.0,Broncos,24.0,Knights,20.0,Payne Haas,0.0,1.0,251.0,1003.77,43.0,21.0,Prop,69.0,0.0,93.0,21.0,222.0,63.0,0.0,7.0,2.9,25.0,181.0,"1,812",428.0,10.0,59.0,44.21,183.0,3.34,191.0,"1,975",412.0,6.0,42.0,48.19,215.0,3.28,86.28,346.0,43.0,12.0,80.09,338.0,59.0,25.0,10.0,6.0,1.0,0.0,8.0,3.0,2.0,1.0,17.0,398.0,205.0,21.0,8.0,454.0,261.0,7.0,52.0,29:30,78%,48.0,27:14,80.0
