Round_Number,Home_Team,Home_Score,Away_Team,Away_Score,Player,Tries
21,Dragons,18,Wests Tigers,14,Tyrell Sloan,1
21,Dragons,18,Wests Tigers,14,Mathew Feagai,0
21,Dragons,18,Wests Tigers,14,Mosese Suli,0
21,Dragons,18,Wests Tigers,14,Zac Lomax,1
21,Dragons,18,Wests Tigers,14,Mikaele Ravalawa,1
21,Dragons,18,Wests Tigers,14,Talatau Amone,0
21,Dragons,18,Wests Tigers,14,Ben Hunt captain,0
21,Dragons,18,Wests Tigers,14,Francis Molo,0
21,Dragons,18,Wests Tigers,14,Jacob Liddle,0
21,Dragons,18,Wests Tigers,14,Blake Lawrie,0
21,Dragons,18,Wests Tigers,14,Billy Burns,0
21,Dragons,18,Wests Tigers,14,Dan Russell,0
21,Dragons,18,Wests Tigers,14,Jack De Belin,0
21,Dragons,18,Wests Tigers,14,Jahream Bula,0
21,Dragons,18,Wests Tigers,14,David Nofoaluma,0
21,Dragons,18,Wests Tigers,14,Starford To'a,0
21,Dragons,18,Wests Tigers,14,Tommy Talau,0
21,Dragons,18,Wests Tigers,14,Junior Tupou,2
21,Dragons,18,Wests Tigers,14,Daine Laurie,0
21,Dragons,18,Wests Tigers,14,Brandon Wakeham,0
21,Dragons,18,Wests Tigers,14,Stefano Utoikamanu,0
21,Dragons,18,Wests Tigers,14,Apisai Koroisau captain,0
21,Dragons,18,Wests Tigers,14,David Klemmer,0
21,Dragons,18,Wests Tigers,14,Isaiah Papali'i,0
21,Dragons,18,Wests Tigers,14,John Bateman,0
21,Dragons,18,Wests Tigers,14,Fonua Pole,0
