Player,Number,Position,MinsPlayed,Points,Tries,Conversions,Conversion Attempts,PenaltyGoals,1 Point FieldGoals,2 Point FieldGoals,TotalPoints,AllRuns,All RunMetres,Kick ReturnMetres,Post ContactMetres,LineBreaks,Line BreakAssists,TryAssists,Line EngagedRuns,TackleBreaks,HitUps,Play TheBall,Average Play The BallSpeed,Dummy HalfRuns,Dummy Half RunMetres,One on OneSteal,Offloads,DummyPasses,Passes,Receipts,Passes To RunRatio,Tackle Efficiency,TacklesMade,MissedTackles,Ineffective Tackles,Intercepts,KicksDefused,Kicks,KickingMetres,Forced DropOuts,BombKicks,Grubbers,40/20,20/40,Cross FieldKicks,KickedDead,Errors,Handling Errors,One on OneLost,Penalties,Ruck Infringements,Inside 10Metres,OnReport,SinBins,SendOffs,StintOne,StintTwo
Hayze Perham,1,Fullback,80,0,0,0,0,0,0,0,30,15,135,12,27,1,0,0,0,2,1,0,4.0,2,20,0,1,1,7,25,0.47,71.43,10,3,1,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,80,0
Jacob Kiraz,2,Winger,80,0,0,0,0,0,0,0,23,19,169,6,45,0,1,0,0,2,3,0,4.04,1,8,0,1,1,3,23,0.16,50.0,3,2,1,0,2,1,6,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,80,0
Jake Averillo,3,Centre,80,0,0,0,0,0,0,0,22,10,68,40,16,0,0,0,0,2,1,0,3.48,2,11,0,0,0,13,21,1.3,78.57,11,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Paul Alamoti,4,Centre,80,0,0,0,0,0,0,0,10,8,65,0,21,0,0,0,0,4,0,0,3.27,0,0,0,0,0,3,9,0.38,66.67,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,80,0
Braidon Burns,5,Winger,80,0,0,0,0,0,0,0,30,16,113,6,30,0,0,0,0,5,2,0,3.48,2,19,0,2,0,1,17,0.06,100.0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,80,0
Karl Oloapu,6,Five-Eighth,50,0,0,0,0,0,0,0,13,5,21,0,0,0,0,0,0,1,1,0,3.48,0,0,0,0,0,5,11,1.0,75.86,22,7,0,0,0,3,93,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,50,0
Chris Patolo,8,Prop,16,0,0,0,0,0,0,0,12,5,43,0,13,0,0,0,0,0,4,0,2.61,0,0,0,0,0,2,6,0.4,80.0,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
Reed Mahoney,9,Hooker,80,0,0,0,0,0,0,0,52,10,64,0,16,0,1,1,0,2,3,0,3.88,5,34,0,2,7,96,105,9.6,86.05,37,6,0,0,0,2,53,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,80,0
Tevita Pangai Junior,10,Prop,49,0,0,0,0,0,0,0,36,15,142,29,41,0,0,0,0,1,11,0,3.66,0,0,0,2,0,8,21,0.53,83.33,20,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,18,29
Jayden Okunbor,11,2nd Row,80,0,0,0,0,0,0,0,25,5,41,0,18,0,0,0,0,2,4,0,3.79,0,0,0,0,0,1,6,0.2,81.25,26,4,2,0,0,1,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80,0
Jacob Preston,12,2nd Row,80,0,0,0,0,0,0,0,49,6,43,0,18,0,0,0,0,0,6,0,4.01,0,0,0,0,0,0,7,0.0,95.56,43,1,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Khaled Rajab,14,Interchange,54,0,0,0,0,0,0,0,29,7,49,0,14,0,0,0,0,3,2,0,3.98,0,0,0,1,2,16,24,2.29,82.61,19,2,2,0,0,2,83,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,54,0
Kurtis Morrin,15,Lock,48,4,1,0,0,0,0,0,44,10,93,0,31,1,0,0,0,4,6,0,3.42,1,7,0,0,1,6,13,0.6,77.14,27,7,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,26,22
