Player,Number,Position,MinsPlayed,Points,Tries,Conversions,Conversion Attempts,PenaltyGoals,1 Point FieldGoals,2 Point FieldGoals,TotalPoints,AllRuns,All RunMetres,Kick ReturnMetres,Post ContactMetres,LineBreaks,Line BreakAssists,TryAssists,Line EngagedRuns,TackleBreaks,HitUps,Play TheBall,Average Play The BallSpeed,Dummy HalfRuns,Dummy Half RunMetres,One on OneSteal,Offloads,DummyPasses,Passes,Receipts,Passes To RunRatio,Tackle Efficiency,TacklesMade,MissedTackles,Ineffective Tackles,Intercepts,KicksDefused,Kicks,KickingMetres,Forced DropOuts,BombKicks,Grubbers,40/20,20/40,Cross FieldKicks,KickedDead,Errors,Handling Errors,One on OneLost,Penalties,Ruck Infringements,Inside 10Metres,OnReport,SinBins,SendOffs,StintOne,StintTwo
Hayze Perham,1,Fullback,80,0,0,0,0,0,0,0,17,20,170,55,38,0,0,0,0,0,0,0,3.7,1,8,0,1,1,22,42,1.1,66.67,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,80,0
Jacob Kiraz,2,Winger,80,0,0,0,0,0,0,0,12,17,143,6,64,0,0,0,0,1,1,0,3.86,0,0,0,1,0,2,18,0.12,44.44,4,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,80,0
Jake Averillo,3,Centre,80,0,0,0,0,0,0,0,15,14,124,0,27,0,0,0,0,1,0,0,3.48,4,34,0,0,3,15,25,1.07,87.5,7,1,0,0,0,1,25,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,80,0
Paul Alamoti,4,Centre,80,0,0,0,0,0,0,0,26,11,92,0,24,1,0,0,0,3,0,0,3.87,1,6,0,1,0,5,15,0.45,84.21,16,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,80,0
Josh Addo-Carr,5,Winger,80,0,0,0,0,0,0,0,13,11,94,26,31,0,0,0,0,1,0,0,3.5,1,9,0,0,0,5,18,0.45,80.0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,80,0
Khaled Rajab,6,Five-Eighth,38,0,0,0,0,0,0,0,9,1,10,0,3,0,0,0,0,0,0,0,4.92,0,0,0,0,0,12,14,12.0,72.73,16,3,3,0,0,1,27,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,37,0
Matt Burton,7,Halfback,80,0,0,0,0,0,0,0,19,7,43,0,2,0,1,0,0,0,0,0,2.24,0,0,0,0,5,26,40,3.71,79.31,23,6,0,0,0,11,316,0,3,2,0,0,1,1,3,3,0,1,0,0,1,0,0,80,0
Max King,8,Prop,65,0,0,0,0,0,0,0,40,9,85,14,27,0,0,0,0,2,8,0,3.77,0,0,0,1,0,1,10,0.11,84.0,42,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,53,11
Reed Mahoney,9,Hooker,80,0,0,0,0,0,0,0,44,3,14,0,5,0,0,0,0,0,2,0,3.88,0,0,0,0,0,74,78,24.67,83.08,54,8,3,0,0,3,86,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,80,0
Tevita Pangai Junior,10,Prop,35,0,0,0,0,0,0,0,11,6,37,0,5,0,0,0,0,0,4,0,3.16,0,0,0,0,0,5,9,0.83,70.0,14,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16
Jayden Okunbor,11,2nd Row,80,0,0,0,0,0,0,0,34,3,26,0,13,0,0,0,0,0,2,0,4.47,1,9,0,0,0,0,6,0.0,86.79,46,6,1,0,0,1,20,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,80,0
Jacob Preston,12,2nd Row,80,0,0,0,0,0,0,0,50,9,79,0,29,0,0,0,0,1,8,0,4.21,0,0,0,0,0,1,9,0.11,91.49,43,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
Kurtis Morrin,13,Lock,40,0,0,0,0,0,0,0,17,4,44,0,19,0,0,0,0,1,4,0,4.15,0,0,0,0,0,3,9,0.75,78.13,25,7,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,22,18
