Player,Number,Position,MinsPlayed,Points,Tries,Conversions,Conversion Attempts,PenaltyGoals,1 Point FieldGoals,2 Point FieldGoals,TotalPoints,AllRuns,All RunMetres,Kick ReturnMetres,Post ContactMetres,LineBreaks,Line BreakAssists,TryAssists,Line EngagedRuns,TackleBreaks,HitUps,Play TheBall,Average Play The BallSpeed,Dummy HalfRuns,Dummy Half RunMetres,One on OneSteal,Offloads,DummyPasses,Passes,Receipts,Passes To RunRatio,Tackle Efficiency,TacklesMade,MissedTackles,Ineffective Tackles,Intercepts,KicksDefused,Kicks,KickingMetres,Forced DropOuts,BombKicks,Grubbers,40/20,20/40,Cross FieldKicks,KickedDead,Errors,Handling Errors,One on OneLost,Penalties,Ruck Infringements,Inside 10Metres,OnReport,SinBins,SendOffs,StintOne,StintTwo
Kaeo Weekes,1,Fullback,70,0,0,0,0,0,0,0,16,10,85,47,21,0,0,0,0,0,0,0,3.35,0,0,0,0,2,12,18,1.2,80.0,12,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,70,0
Jason Saab,2,Winger,80,0,0,0,0,0,0,0,11,5,41,9,12,0,0,0,0,0,0,0,3.89,0,0,0,0,0,2,10,0.4,76.92,10,2,1,0,1,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,80,0
Tolutau Koula,3,Centre,80,0,0,0,0,0,0,0,26,8,91,0,16,1,2,1,0,2,0,0,3.06,0,0,0,0,0,5,10,0.63,50.0,8,5,3,0,0,1,19,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,80,0
Reuben Garrick,4,Centre,80,0,0,0,1,0,0,0,19,10,89,0,36,0,0,0,0,0,1,0,4.12,0,0,0,1,0,5,15,0.5,78.57,11,1,2,1,1,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,0,0,0,80,0
Christian Tuipulotu,5,Winger,80,4,1,0,0,0,0,0,54,13,141,0,31,3,0,0,0,3,0,0,3.49,0,0,0,1,0,1,15,0.08,71.43,5,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,80,0
Joshua Schuster,6,Five-Eighth,80,0,0,0,0,0,0,0,33,7,38,0,1,0,0,0,0,2,0,0,3.72,0,0,0,1,5,28,38,4.0,81.48,22,2,3,0,0,5,138,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,80,0
Jake Arthur,7,Halfback,80,0,0,0,0,0,0,0,28,6,32,0,2,0,1,0,0,0,0,0,3.52,0,0,0,0,3,31,43,5.17,73.08,19,3,4,0,0,9,313,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,80,0
Taniela Paseka,8,Prop,56,0,0,0,0,0,0,0,39,13,130,9,62,0,0,0,0,0,12,0,2.91,0,0,0,1,0,1,15,0.08,92.11,35,1,2,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1,1,0,0,0,0,23,32
Lachlan Croker,9,Hooker,60,0,0,0,0,0,0,0,20,2,12,0,4,0,0,0,0,0,0,0,4.22,2,12,0,0,2,72,76,36.0,85.71,30,5,0,0,0,1,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,60,0
Toafofoa Sipley,10,Prop,35,0,0,0,0,0,0,0,37,8,74,28,28,0,0,0,0,0,5,0,3.43,1,3,0,1,1,2,10,0.25,95.83,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,7
Haumole Olakau'atu,11,2nd Row,80,0,0,0,0,0,0,0,37,10,89,0,38,0,0,0,0,3,10,0,3.75,0,0,0,0,0,2,14,0.2,82.35,28,4,2,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80,0
Samuela Fainu,12,Interchange,49,0,0,0,0,0,0,0,17,4,49,0,23,0,0,0,0,0,4,0,3.8,0,0,0,0,0,1,5,0.25,75.76,25,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0
Sean Keppie,13,Lock,57,0,0,0,0,0,0,0,42,8,62,0,34,0,0,0,0,2,8,0,3.08,0,0,0,1,0,1,10,0.13,83.33,40,7,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,31,26
