Round_Number,Home_Team,Home_Score,Away_Team,Away_Score,Player,Tries
1,Panthers,12,Broncos,13,Dylan Edwards,0
1,Panthers,12,Broncos,13,Sunia Turuva,0
1,Panthers,12,Broncos,13,Izack Tago,0
1,Panthers,12,Broncos,13,Stephen Crichton,1
1,Panthers,12,Broncos,13,Brian To'o,0
1,Panthers,12,Broncos,13,Jarome Luai,0
1,Panthers,12,Broncos,13,Nathan Cleary captain,0
1,Panthers,12,Broncos,13,Moses Leota,0
1,Panthers,12,Broncos,13,Mitch Kenny,0
1,Panthers,12,Broncos,13,James Fisher-Harris,0
1,Panthers,12,Broncos,13,Luke Garner,0
1,Panthers,12,Broncos,13,Liam Martin,0
1,Panthers,12,Broncos,13,Isaah Yeo,0
1,Panthers,12,Broncos,13,Selwyn Cobbo,0
1,Panthers,12,Broncos,13,Corey Oates,0
1,Panthers,12,Broncos,13,Kotoni Staggs,0
1,Panthers,12,Broncos,13,Herbie Farnworth,2
1,Panthers,12,Broncos,13,Jesse Arthars,0
1,Panthers,12,Broncos,13,Ezra Mam,0
1,Panthers,12,Broncos,13,Adam Reynolds captain,0
1,Panthers,12,Broncos,13,Corey Jensen,0
1,Panthers,12,Broncos,13,Billy Walters,0
1,Panthers,12,Broncos,13,Payne Haas,0
1,Panthers,12,Broncos,13,Kurt Capewell,0
1,Panthers,12,Broncos,13,Jordan Riki,0
1,Panthers,12,Broncos,13,Patrick Carrigan,0
