Round_Number,Home_Team,Home_Score,Away_Team,Away_Score,Player,Tries
2,Storm,12,Bulldogs,26,Nick Meaney,0
2,Storm,12,Bulldogs,26,Will Warbrick,0
2,Storm,12,Bulldogs,26,Reimis Smith,0
2,Storm,12,Bulldogs,26,Young Tonumaipea,0
2,Storm,12,Bulldogs,26,Grant Anderson,0
2,Storm,12,Bulldogs,26,Tyran Wishart,0
2,Storm,12,Bulldogs,26,Jahrome Hughes,1
2,Storm,12,Bulldogs,26,Nelson Asofa-Solomona,1
2,Storm,12,Bulldogs,26,Harry Grant,0
2,Storm,12,Bulldogs,26,Christian Welch captain,0
2,Storm,12,Bulldogs,26,Trent Loiero,0
2,Storm,12,Bulldogs,26,Eliesa Katoa,0
2,Storm,12,Bulldogs,26,Josh King,0
2,Storm,12,Bulldogs,26,Hayze Perham,0
2,Storm,12,Bulldogs,26,Jacob Kiraz,2
2,Storm,12,Bulldogs,26,Jake Averillo,1
2,Storm,12,Bulldogs,26,Paul Alamoti,0
2,Storm,12,Bulldogs,26,Josh Addo-Carr,1
2,Storm,12,Bulldogs,26,Matt Burton captain,0
2,Storm,12,Bulldogs,26,Kyle Flanagan,0
2,Storm,12,Bulldogs,26,Max King,0
2,Storm,12,Bulldogs,26,Reed Mahoney,0
2,Storm,12,Bulldogs,26,Ryan Sutton,0
2,Storm,12,Bulldogs,26,Viliame Kikau,0
2,Storm,12,Bulldogs,26,Raymond Faitala-Mariner,0
2,Storm,12,Bulldogs,26,Jacob Preston,0
